Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3"
t3,0-1,1,12-,"1,(0-0) X",R,ATL,Marcell Ozuna,Garrett Richards,15%,59%,Double to CF (Line Drive to Deep CF); Contreras Scores; Freeman to 3B
t3,1-1,1,-23,"4,(1-2) BFSX",RO,ATL,Ozzie Albies,Garrett Richards,-1%,58%,Fielder's Choice 2B; Freeman Scores; Ozuna out at 3B/2B-3B; Albies to 1B
t3,2-1,2,1--,"6,(3-2) 1BB*BSF>T",O,ATL,Austin Riley,Garrett Richards,-2%,55%,Strikeout Swinging
,,,,,,,,,"2 runs, 2 hits, 0 errors, 1 LOB. Braves 2, Red Sox 1.","2 runs, 2 hits, 0 errors, 1 LOB. Braves 2, Red Sox 1.","2 runs, 2 hits, 0 errors, 1 LOB. Braves 2, Red Sox 1."
"Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 2-3-4"
,,,,,,,,,Ehire Adrianza replaces Marcell Ozuna playing LF batting 3rd,Ehire Adrianza replaces Marcell Ozuna playing LF batting 3rd,Ehire Adrianza replaces Marcell Ozuna playing LF batting 3rd
b3,1-2,0,---,"5,(2-2) .BCBFX",O,BOS,Alex Verdugo,Charlie Morton,3%,58%,Groundout: 1B-P
b3,1-2,1,---,"3,(0-2) SFS",O,BOS,J.D. Martinez,Charlie Morton,2%,60%,Strikeout Swinging
b3,1-2,2,---,"2,(0-1) CX",,BOS,Xander Bogaerts,Charlie Morton,-2%,59%,Single to LF (Line Drive to Deep LF-CF)
b3,1-2,2,1--,"1,(0-0) X",O,BOS,Rafael Devers,Charlie Morton,3%,62%,Groundout: 3B-1B (Weak SS)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Braves 2, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Braves 2, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Braves 2, Red Sox 1."
"Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 4th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8"
t4,2-1,0,---,"2,(0-1) FX",,ATL,Dansby Swanson,Garrett Richards,4%,65%,Single to SS (Ground Ball to SS-3B Hole)
t4,2-1,0,1--,"6,(3-2) BC1BFB>X",,ATL,Pablo Sandoval,Garrett Richards,9%,74%,Single to LF (Ground Ball); Swanson to 3B
t4,2-1,0,1-3,"1,(0-0) X",O,ATL,Guillermo Heredia,Garrett Richards,-6%,68%,Lineout: 3B
t4,2-1,1,1-3,"4,(1-2) SF*BC",O,ATL,William Contreras,Garrett Richards,-7%,61%,Strikeout Looking
t4,2-1,2,1-3,"1,(0-0) X",O,ATL,Ronald Acuna Jr.,Garrett Richards,-5%,56%,Groundout: SS-2B/Forceout at 2B (SS-3B Hole); Acuna to 1B
