Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Phillies 2, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 2, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 2, Red Sox 3."
"Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3","Top of the 5th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 1-2-3"
t5,2-3,0,---,"5,(1-2) CSBFX",O,PHI,Odubel Herrera,David Price,3%,66%,Groundout: 2B-1B
t5,2-3,1,---,"3,(2-0) BBX",O,PHI,Daniel Nava,David Price,2%,69%,Groundout: 2B-1B
t5,2-3,2,---,"4,(1-2) BFFC",O,PHI,Aaron Altherr,David Price,2%,70%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Phillies 2, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 2, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 2, Red Sox 3."
"Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 2-3-4"
b5,3-2,0,---,"3,(1-1) BSX",O,BOS,Dustin Pedroia,Ben Lively,-2%,68%,Flyball: RF (Deep RF)
b5,3-2,1,---,"3,(0-2) CFX",,BOS,Xander Bogaerts,Ben Lively,4%,72%,Double to LF (Line Drive to Deep LF Line)
b5,3-2,1,-2-,"1,(0-1) FN",O,BOS,Mitch Moreland,Ben Lively,-6%,66%,Bogaerts Caught Stealing 3B (P-3B)
b5,3-2,2,---,"3,(1-1) FN.BX",O,BOS,Mitch Moreland,Ben Lively,-1%,65%,Groundout: 2B-1B (Deep 2B-1B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Phillies 2, Red Sox 3.","0 runs, 1 hit, 0 errors, 0 LOB. Phillies 2, Red Sox 3.","0 runs, 1 hit, 0 errors, 0 LOB. Phillies 2, Red Sox 3."
"Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6","Top of the 6th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 4-5-6"
t6,2-3,0,---,"3,(0-2) CFX",O,PHI,Howie Kendrick,David Price,4%,69%,Groundout: SS-1B
t6,2-3,1,---,"4,(1-2) BFCX",,PHI,Tommy Joseph,David Price,-6%,62%,Ground-rule Double (Fly Ball to Deep RF Line)
t6,2-3,1,-2-,"4,(2-1) BBCX",,PHI,Maikel Franco,David Price,-7%,55%,Single to RF (Ground Ball thru 2B-1B); Joseph to 3B
t6,2-3,1,1-3,"3,(1-1) BFX",RO,PHI,Michael Saunders,David Price,-1%,54%,Groundout: 3B-2B/Forceout at 2B (SS-3B Hole); Joseph Scores
t6,3-3,2,1--,"3,(0-2) SST",O,PHI,Cameron Rupp,David Price,4%,58%,Strikeout Swinging
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Phillies 3, Red Sox 3.","1 run, 2 hits, 0 errors, 1 LOB. Phillies 3, Red Sox 3.","1 run, 2 hits, 0 errors, 1 LOB. Phillies 3, Red Sox 3."
