Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3"
b3,4-1,1,---,"4,(1-2) FBTX",,BOS,Andrew Benintendi,James Shields,1%,83%,Single to LF (Line Drive to LF-CF)
b3,4-1,1,1--,"3,(1-1) BC>B",,BOS,Eduardo Nunez,James Shields,1%,84%,Benintendi Steals 2B
b3,4-1,1,-2-,"5,(2-2) BC>B.FS",O,BOS,Eduardo Nunez,James Shields,-2%,82%,Strikeout Swinging
b3,4-1,2,-2-,"2,(0-1) CX",O,BOS,Rafael Devers,James Shields,-2%,80%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 0 errors, 1 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 0 errors, 1 LOB. White Sox 1, Red Sox 4."
"Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 4th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 5-6-7"
t4,1-4,0,---,"4,(1-2) CSBS",O,CHW,Leury Garcia,Drew Pomeranz,2%,83%,Strikeout Swinging
t4,1-4,1,---,"4,(1-2) FBFS",O,CHW,Yoan Moncada,Drew Pomeranz,2%,84%,Strikeout Swinging
t4,1-4,2,---,"6,(3-2) CFBBBB",,CHW,Nicky Delmonico,Drew Pomeranz,-1%,83%,Walk
t4,1-4,2,1--,"1,(0-0) X",,CHW,Adam Engel,Drew Pomeranz,-2%,81%,Single to LF (Line Drive to Short LF); Delmonico to 2B
t4,1-4,2,12-,"4,(1-2) SS*BS",O,CHW,Alen Hanson,Drew Pomeranz,4%,85%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 2 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 0 errors, 2 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 0 errors, 2 LOB. White Sox 1, Red Sox 4."
"Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 6-7-8"
b4,4-1,0,---,"7,(3-2) SBFBFBC",O,BOS,Chris Young,James Shields,-1%,84%,Strikeout Looking
b4,4-1,1,---,"2,(0-1) CX",O,BOS,Mitch Moreland,James Shields,-1%,83%,Flyball: LF (Deep LF-CF)
b4,4-1,2,---,"1,(0-0) X",O,BOS,Christian Vazquez,James Shields,-1%,83%,Groundout: SS-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4."
"Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 5th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 1-2-3"
t5,1-4,0,---,"2,(0-1) SX",,CHW,Tim Anderson,Drew Pomeranz,-4%,79%,Single to 1B/Bunt (Bunt to Weak 2B-1B)
t5,1-4,0,1--,"4,(2-1) CB*BX",O,CHW,Tyler Saladino,Drew Pomeranz,4%,82%,Popfly: 3B
t5,1-4,1,1--,"2,(0-1) C1X",OO,CHW,José Abreu,Drew Pomeranz,5%,88%,Ground Ball Double Play: 3B-2B-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 0 errors, 0 LOB. White Sox 1, Red Sox 4."
"Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2","Bottom of the 5th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 9-1-2"
b5,4-1,0,---,"5,(2-2) CBBFC",O,BOS,Jackie Bradley Jr.,James Shields,-1%,87%,Strikeout Looking
b5,4-1,1,---,"2,(1-0) BX",,BOS,Mookie Betts,James Shields,2%,89%,Double to LF (Line Drive to Deep LF)
b5,4-1,1,-2-,"5,(2-2) C*BC*BS",O,BOS,Brock Holt,James Shields,-2%,87%,Strikeout Swinging
b5,4-1,2,-2-,",(3-0) VVVV",,BOS,Andrew Benintendi,James Shields,0%,87%,Intentional Walk
b5,4-1,2,12-,"6,(3-2) BBBCC>X",O,BOS,Eduardo Nunez,James Shields,-2%,85%,Flyball: CF (Short CF)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 2 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 0 errors, 2 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 0 errors, 2 LOB. White Sox 1, Red Sox 4."
"Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6","Top of the 6th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 4-5-6"
t6,1-4,0,---,"3,(0-2) FCX",O,CHW,Kevan Smith,Drew Pomeranz,3%,88%,Groundout: 2B-1B (SS-2B)
t6,1-4,1,---,"4,(1-2) SSBS",O,CHW,Leury Garcia,Drew Pomeranz,2%,90%,Strikeout Swinging
t6,1-4,2,---,"4,(1-2) BFSS",O,CHW,Yoan Moncada,Drew Pomeranz,1%,91%,Strikeout Swinging (C-1B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4."
"Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7","Bottom of the 6th, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 5-6-7"
b6,4-1,0,---,"1,(0-0) X",O,BOS,Rafael Devers,James Shields,-1%,90%,Groundout: SS-1B
b6,4-1,1,---,"2,(1-0) BX",O,BOS,Chris Young,James Shields,-1%,89%,Flyball: CF (Deep CF)
b6,4-1,2,---,"6,(3-2) SBSBBX",O,BOS,Mitch Moreland,James Shields,0%,89%,Lineout: 1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4."
"Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9","Top of the 7th, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 7-8-9"
t7,1-4,0,---,"1,(0-0) X",,CHW,Nicky Delmonico,Drew Pomeranz,-4%,84%,Single to RF (Line Drive to Short RF)
