Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Indians 0, Red Sox 0."
"Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 6th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3"
b6,0-0,0,---,"7,(3-2) CBBSFBX",O,BOS,Mookie Betts,Zach Plesac,4%,45%,Groundout: 3B-1B (SS-3B Hole)
b6,0-0,1,---,"7,(3-2) FBSBFBX",,BOS,Rafael Devers,Zach Plesac,-11%,35%,Triple to RF (Line Drive)
,,,,,,,,,A.J. Cole replaces Zach Plesac pitching,A.J. Cole replaces Zach Plesac pitching,A.J. Cole replaces Zach Plesac pitching
b6,0-0,1,--3,"5,(1-2) .CFBFX",R,BOS,Xander Bogaerts,A.J. Cole,-8%,27%,Single to CF (Ground Ball thru SS-2B); Devers Scores
b6,1-0,1,1--,"1,(0-0) X",,BOS,J.D. Martinez,A.J. Cole,-8%,19%,Double to LF (Line Drive to Deep LF Line); Bogaerts to 3B
b6,1-0,1,-23,"3,(0-2) SFS",O,BOS,Michael Chavis,A.J. Cole,7%,26%,Strikeout Swinging
b6,1-0,2,-23,"5,(2-2) *BCFBX",RR,BOS,Brock Holt,A.J. Cole,-15%,11%,Reached on E4 (Ground Ball to Short RF); Bogaerts Scores/unER/No RBI; Martinez Scores/unER/No RBI
b6,3-0,2,1--,"3,(0-2) S1FT",O,BOS,Steve Pearce,A.J. Cole,1%,12%,Strikeout Swinging
,,,,,,,,,"3 runs, 3 hits, 1 error, 1 LOB. Indians 0, Red Sox 3.","3 runs, 3 hits, 1 error, 1 LOB. Indians 0, Red Sox 3.","3 runs, 3 hits, 1 error, 1 LOB. Indians 0, Red Sox 3."
