Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3"
t3,5-0,2,-2-,"4,(2-1) FBBX",O,WSN,Adam Eaton,Martin Perez,-1%,87%,Lineout: LF
,,,,,,,,,"5 runs, 6 hits, 0 errors, 1 LOB. Nationals 5, Red Sox 0.","5 runs, 6 hits, 0 errors, 1 LOB. Nationals 5, Red Sox 0.","5 runs, 6 hits, 0 errors, 1 LOB. Nationals 5, Red Sox 0."
"Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-5, Nationals' Max Scherzer facing 8-9-1"
b3,0-5,0,---,"8,(3-2) TBBFBFFS",O,BOS,Jackie Bradley Jr.,Max Scherzer,2%,89%,Strikeout Swinging
b3,0-5,1,---,"5,(2-2) FBSBT",O,BOS,Jose Peraza,Max Scherzer,1%,90%,Strikeout Swinging
b3,0-5,2,---,"6,(2-2) BSBFFX",,BOS,Alex Verdugo,Max Scherzer,-1%,89%,Single to CF (Line Drive)
b3,0-5,2,1--,"6,(2-2) SBFFBX",R,BOS,Rafael Devers,Max Scherzer,-6%,84%,Double to CF (Line Drive to Deep CF-RF); Verdugo Scores
b3,1-5,2,-2-,"6,(2-2) BBSSFS",O,BOS,J.D. Martinez,Max Scherzer,3%,86%,Strikeout Swinging
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Nationals 5, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Nationals 5, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Nationals 5, Red Sox 1."
"Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9","Top of the 4th, Nationals Batting, Ahead 5-1, Red Sox' Martin Perez facing 7-8-9"
t4,5-1,0,---,"5,(0-2) CSFFX",O,WSN,Josh Harrison,Martin Perez,-1%,85%,Lineout: CF (Deep CF)
t4,5-1,1,---,"6,(1-2) SSFBFX",O,WSN,Michael A. Taylor,Martin Perez,-1%,84%,Groundout: 3B-1B
t4,5-1,2,---,"4,(0-2) CSFX",,WSN,Victor Robles,Martin Perez,1%,85%,Single to LF (Line Drive to LF-CF)
t4,5-1,2,1--,"2,(0-1) 1F1X",,WSN,Trea Turner,Martin Perez,1%,86%,Single to RF (Line Drive to Deep RF Line); Robles to 3B
t4,5-1,2,1-3,"4,(1-2) CC1B>B",RO,WSN,Juan Soto,Martin Perez,3%,89%,Turner Caught Stealing 2B (C-SS-1B); Robles Scores/No RBI
,,,,,,,,,"1 run, 2 hits, 0 errors, 0 LOB. Nationals 6, Red Sox 1.","1 run, 2 hits, 0 errors, 0 LOB. Nationals 6, Red Sox 1.","1 run, 2 hits, 0 errors, 0 LOB. Nationals 6, Red Sox 1."
"Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 4-5-6"
b4,1-6,0,---,"3,(0-2) CSS",O,BOS,Xander Bogaerts,Max Scherzer,2%,91%,Strikeout Swinging
b4,1-6,1,---,"4,(1-2) CSBS",O,BOS,Mitch Moreland,Max Scherzer,1%,92%,Strikeout Swinging
b4,1-6,2,---,"2,(0-1) CX",,BOS,Christian Vazquez,Max Scherzer,-1%,91%,Single to CF (Ground Ball thru SS-2B)
b4,1-6,2,1--,"4,(1-2) SBSB",,BOS,Kevin Pillar,Max Scherzer,0%,91%,Wild Pitch; Vazquez to 2B
b4,1-6,2,-2-,"6,(3-2) SBSB.BS",O,BOS,Kevin Pillar,Max Scherzer,2%,93%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Nationals 6, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Nationals 6, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Nationals 6, Red Sox 1."
"Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4","Top of the 5th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 2-3-4"
,,,,,,,,,Robert Stock replaces Martin Perez pitching,Robert Stock replaces Martin Perez pitching,Robert Stock replaces Martin Perez pitching
t5,6-1,0,---,"6,(3-2) .CBBBFX",O,WSN,Juan Soto,Robert Stock,-1%,92%,Groundout: SS-1B (Deep 2B)
t5,6-1,1,---,"2,(0-1) CX",,WSN,Howie Kendrick,Robert Stock,1%,93%,Single to CF (Line Drive to Deep CF)
