Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t4,1-1,0,-2-,"2,(0-1) FX",O,NYY,Didi Gregorius,Eduardo Rodriguez,5%,48%,Groundout: SS-1B
t4,1-1,1,-2-,"1,(0-0) X",O,NYY,Gleyber Torres,Eduardo Rodriguez,4%,52%,Popfly: SS
t4,1-1,2,-2-,"4,(2-1) FBBX",R,NYY,Gio Urshela,Eduardo Rodriguez,-11%,42%,Single to CF (Fly Ball to Short CF); Voit Scores
t4,2-1,2,1--,"6,(2-2) BCCFBX",O,NYY,Mike Tauchman,Eduardo Rodriguez,3%,44%,Groundout: SS-2B/Forceout at 2B (SS-3B Hole)
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Yankees 2, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Yankees 2, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Yankees 2, Red Sox 1."
"Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 1-2, Yankees' CC Sabathia facing 2-3-4"
b4,1-2,0,---,"2,(1-0) BX",,BOS,Rafael Devers,CC Sabathia,5%,49%,Single to LF (Line Drive to Deep LF-CF)
b4,1-2,0,1--,"3,(2-0) BBX",O,BOS,Xander Bogaerts,CC Sabathia,-4%,44%,Flyball: CF (Deep CF)
b4,1-2,1,1--,"1,(0-0) X",RR,BOS,J.D. Martinez,CC Sabathia,21%,66%,Home Run (Fly Ball to Deep LF); Devers Scores
b4,3-2,1,---,"3,(0-2) CSX",,BOS,Christian Vazquez,CC Sabathia,2%,68%,Single to LF (Line Drive to Deep LF)
b4,3-2,1,1--,"6,(3-2) FBBFBC",O,BOS,Andrew Benintendi,CC Sabathia,-3%,65%,Strikeout Looking
b4,3-2,2,1--,"3,(1-1) BSX",,BOS,Sam Travis,CC Sabathia,3%,68%,Single to LF (Line Drive to Deep LF); Vazquez to 3B
b4,3-2,2,1-3,"2,(1-0) BX",R,BOS,Michael Chavis,CC Sabathia,9%,77%,Single to LF (Line Drive to Short LF-CF); Vazquez Scores; Travis to 2B
b4,4-2,2,12-,"1,(0-0) X",O,BOS,Jackie Bradley Jr.,CC Sabathia,-3%,73%,Flyball: LF (Deep LF)
,,,,,,,,,"3 runs, 5 hits, 0 errors, 2 LOB. Yankees 2, Red Sox 4.","3 runs, 5 hits, 0 errors, 2 LOB. Yankees 2, Red Sox 4.","3 runs, 5 hits, 0 errors, 2 LOB. Yankees 2, Red Sox 4."
"Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 5th, Yankees Batting, Behind 2-4, Red Sox' Eduardo Rodriguez facing 9-1-2"
t5,2-4,0,---,"5,(1-2) CSBFX",O,NYY,Kyle Higashioka,Eduardo Rodriguez,3%,77%,Groundout: P-1B
t5,2-4,1,---,"4,(3-0) BBBB",,NYY,Aaron Hicks,Eduardo Rodriguez,-3%,73%,Walk
t5,2-4,1,1--,"5,(1-2) CSFBC",O,NYY,Aaron Judge,Eduardo Rodriguez,4%,77%,Strikeout Looking
t5,2-4,2,1--,"5,(3-1) BBFBX",R,NYY,Edwin Encarnacion,Eduardo Rodriguez,-12%,65%,Double to CF (Fly Ball to Deep LF-CF); Hicks Scores
t5,3-4,2,-2-,"5,(1-2) SFBFS",O,NYY,Luke Voit,Eduardo Rodriguez,5%,70%,Strikeout Swinging
,,,,,,,,,"1 run, 1 hit, 0 errors, 1 LOB. Yankees 3, Red Sox 4.","1 run, 1 hit, 0 errors, 1 LOB. Yankees 3, Red Sox 4.","1 run, 1 hit, 0 errors, 1 LOB. Yankees 3, Red Sox 4."
