Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t3,0-4,0,---,"3,(2-0) BBX",,MIN,Willians Astudillo,Eduardo Rodriguez,-3%,81%,Single to RF (Line Drive to Short RF)
t3,0-4,0,1--,"4,(1-2) FSBT",O,MIN,Max Kepler,Eduardo Rodriguez,3%,84%,Strikeout Swinging
t3,0-4,1,1--,"1,(0-0) X",O,MIN,Jorge Polanco,Eduardo Rodriguez,2%,86%,Flyball: RF (Deep CF-RF)
t3,0-4,2,1--,"5,(2-2) BSF*BX",O,MIN,Nelson Cruz,Eduardo Rodriguez,2%,88%,Groundout: 3B-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Twins 0, Red Sox 4.","0 runs, 1 hit, 0 errors, 1 LOB. Twins 0, Red Sox 4.","0 runs, 1 hit, 0 errors, 1 LOB. Twins 0, Red Sox 4."
"Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6","Bottom of the 3rd, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 4-5-6"
b3,4-0,0,---,"2,(0-1) CX",O,BOS,J.D. Martinez,Jose Berrios,-1%,87%,Groundout: SS-1B
b3,4-0,1,---,"4,(1-2) BSFS",O,BOS,Andrew Benintendi,Jose Berrios,-1%,87%,Strikeout Swinging
b3,4-0,2,---,"1,(0-0) X",,BOS,Brock Holt,Jose Berrios,1%,87%,Single to SS (Ground Ball to SS-3B Hole)
b3,4-0,2,1--,"3,(0-2) CFS",O,BOS,Mitch Moreland,Jose Berrios,-1%,86%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Twins 0, Red Sox 4.","0 runs, 1 hit, 0 errors, 1 LOB. Twins 0, Red Sox 4.","0 runs, 1 hit, 0 errors, 1 LOB. Twins 0, Red Sox 4."
"Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Twins Batting, Behind 0-4, Red Sox' Eduardo Rodriguez facing 4-5-6"
t4,0-4,0,---,"5,(3-1) BBBCX",,MIN,Eddie Rosario,Eduardo Rodriguez,-3%,83%,Single to 2B (Ground Ball)
t4,0-4,0,1--,"4,(1-2) CBSX",,MIN,Miguel Sano,Eduardo Rodriguez,-5%,78%,Single to CF (Ground Ball thru SS-2B); Rosario to 2B
t4,0-4,0,12-,"2,(0-1) CX",OO,MIN,Jake Cave,Eduardo Rodriguez,10%,88%,Ground Ball Double Play: 2B-SS-1B; Rosario to 3B
t4,0-4,2,--3,"7,(3-2) SBBFFBB",,MIN,C.J. Cron,Eduardo Rodriguez,-1%,86%,Walk
t4,0-4,2,1-3,"6,(3-2) *BBBCS*B",,MIN,Jonathan Schoop,Eduardo Rodriguez,-2%,84%,Walk; Cron to 2B
t4,0-4,2,123,"4,(1-2) FBTX",O,MIN,Willians Astudillo,Eduardo Rodriguez,6%,90%,Flyball: RF
,,,,,,,,,"0 runs, 2 hits, 0 errors, 3 LOB. Twins 0, Red Sox 4.","0 runs, 2 hits, 0 errors, 3 LOB. Twins 0, Red Sox 4.","0 runs, 2 hits, 0 errors, 3 LOB. Twins 0, Red Sox 4."
"Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 4-0, Twins' Jose Berrios facing 8-9-1"
b4,4-0,0,---,"6,(0-2) FFFFFX",O,BOS,Christian Vazquez,Jose Berrios,-1%,89%,Popfly: 2B (2B-1B)
