Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 3-4-5"
b3,2-3,0,---,"3,(0-2) CFX",O,BOS,Xander Bogaerts,Hyun Jin Ryu,3%,58%,Popfly: 1B (Deep 1B)
b3,2-3,1,---,"3,(1-1) BSX",O,BOS,J.D. Martinez,Hyun Jin Ryu,2%,60%,Lineout: SS
b3,2-3,2,---,"2,(1-0) BX",O,BOS,Christian Vazquez,Hyun Jin Ryu,1%,61%,Groundout: 3B-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Dodgers 3, Red Sox 2."
"Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9","Top of the 4th, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 7-8-9"
t4,3-2,0,---,"6,(0-2) CCFFFX",O,LAD,Enrique Hernandez,David Price,-3%,59%,Foul Popfly: 1B (1B into Foul Terr.)
t4,3-2,1,---,"1,(0-0) X",,LAD,Alex Verdugo,David Price,3%,61%,Single to LF (Line Drive to LF-CF)
t4,3-2,1,1--,"8,(3-2) BBCBFFFX",O,LAD,Russell Martin,David Price,-3%,58%,Flyball: RF (Deep RF)
t4,3-2,2,1--,"2,(0-1) CX",O,LAD,Chris Taylor,David Price,-3%,56%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Dodgers 3, Red Sox 2.","0 runs, 1 hit, 0 errors, 1 LOB. Dodgers 3, Red Sox 2.","0 runs, 1 hit, 0 errors, 1 LOB. Dodgers 3, Red Sox 2."
"Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 6-7-8"
b4,2-3,0,---,"4,(1-2) CBSX",O,BOS,Andrew Benintendi,Hyun Jin Ryu,3%,59%,Groundout: 3B-1B (Deep SS-2B)
b4,2-3,1,---,"5,(2-2) BSSBS",O,BOS,Michael Chavis,Hyun Jin Ryu,2%,61%,Strikeout Swinging
b4,2-3,2,---,"4,(0-2) SCFS",O,BOS,Jackie Bradley Jr.,Hyun Jin Ryu,2%,63%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Dodgers 3, Red Sox 2."
