Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Royals' Jason Hammel facing 8-9-1"
b3,1-3,0,---,"6,(2-2) BFBSFX",O,BOS,Jackie Bradley Jr.,Jason Hammel,-3%,31%,Groundout: 1B unassisted
b3,1-3,1,---,"3,(1-1) BCX",O,BOS,Christian Vazquez,Jason Hammel,-2%,29%,Groundout: SS-1B
b3,1-3,2,---,"4,(1-2) FBFX",,BOS,Andrew Benintendi,Jason Hammel,1%,30%,Single to 2B (Ground Ball)
b3,1-3,2,1--,"2,(1-0) 11BX",,BOS,Hanley Ramirez,Jason Hammel,4%,34%,Ground-rule Double; Benintendi to 3B
b3,1-3,2,-23,"6,(3-2) FBF*B*B*B",,BOS,J.D. Martinez,Jason Hammel,2%,36%,Walk
b3,1-3,2,123,"8,(3-2) CS*BB*B>F>F>B",R,BOS,Mitch Moreland,Jason Hammel,11%,47%,Walk; Benintendi Scores; Ramirez to 3B; Martinez to 2B
b3,2-3,2,123,"8,(3-2) BCCBF*B>F>X",RRRR,BOS,Xander Bogaerts,Jason Hammel,35%,82%,Home Run (Fly Ball to Deep LF Line); Ramirez Scores; Martinez Scores; Moreland Scores
b3,6-3,2,---,"7,(3-2) FBBSBFC",O,BOS,Rafael Devers,Jason Hammel,-1%,81%,Strikeout Looking
,,,,,,,,,"5 runs, 3 hits, 0 errors, 0 LOB. Royals 3, Red Sox 6.","5 runs, 3 hits, 0 errors, 0 LOB. Royals 3, Red Sox 6.","5 runs, 3 hits, 0 errors, 0 LOB. Royals 3, Red Sox 6."
