Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3"
t3,0-1,0,1--,"2,(1-0) BX",OO,CHC,Jon Jay,Steven Wright,-9%,35%,Ground Ball Double Play: 2B-SS-1B
t3,0-1,2,---,"4,(1-2) CSBX",O,CHC,Kyle Schwarber,Steven Wright,-1%,33%,Flyball: LF
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Cubs 0, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Cubs 0, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Cubs 0, Red Sox 1."
"Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Cubs' John Lackey facing 1-2-3"
b3,1-0,0,---,"4,(1-2) CBFX",,BOS,Xander Bogaerts,John Lackey,-8%,25%,Triple to RF (Fly Ball to Deep RF)
b3,1-0,0,--3,"5,(2-2) BBCCX",RO,BOS,Andrew Benintendi,John Lackey,1%,26%,Lineout: CF/Sacrifice Fly (Deep CF); Bogaerts Scores
b3,2-0,1,---,"7,(3-2) BFSBBFX",O,BOS,Mookie Betts,John Lackey,1%,27%,Lineout: CF (Deep CF)
b3,2-0,2,---,"2,(1-0) BX",R,BOS,Hanley Ramirez,John Lackey,-8%,19%,Home Run (Fly Ball to Deep LF)
b3,3-0,2,---,"2,(0-1) CX",O,BOS,Mitch Moreland,John Lackey,1%,20%,Lineout: 1B
,,,,,,,,,"2 runs, 2 hits, 0 errors, 0 LOB. Cubs 0, Red Sox 3.","2 runs, 2 hits, 0 errors, 0 LOB. Cubs 0, Red Sox 3.","2 runs, 2 hits, 0 errors, 0 LOB. Cubs 0, Red Sox 3."
