Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3"
t3,1-1,1,12-,"6,(2-2) BBCCFS",O,TEX,Nomar Mazara,Darwinzon Hernandez,-5%,49%,Strikeout Swinging
t3,1-1,2,12-,"4,(3-0) BBBB",,TEX,Hunter Pence,Darwinzon Hernandez,3%,52%,Walk; Santana to 3B; Andrus to 2B
t3,1-1,2,123,"6,(3-2) BBBCCX",RR,TEX,Asdrubal Cabrera,Darwinzon Hernandez,17%,70%,Single to CF (Line Drive); Santana Scores; Andrus Scores; Pence to 3B
t3,3-1,2,1-3,"5,(2-2) 1B*B1TCS",O,TEX,Rougned Odor,Darwinzon Hernandez,-4%,65%,Strikeout Swinging
,,,,,,,,,"2 runs, 1 hit, 0 errors, 2 LOB. Rangers 3, Red Sox 1.","2 runs, 1 hit, 0 errors, 2 LOB. Rangers 3, Red Sox 1.","2 runs, 1 hit, 0 errors, 2 LOB. Rangers 3, Red Sox 1."
"Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Rangers' Ariel Jurado facing 9-1-2"
b3,1-3,0,---,"3,(1-1) CBX",O,BOS,Michael Chavis,Ariel Jurado,3%,68%,Groundout: 3B-1B (Weak 3B)
b3,1-3,1,---,"3,(1-1) CBX",O,BOS,Mookie Betts,Ariel Jurado,2%,70%,Flyball: CF (Deep CF)
b3,1-3,2,---,"6,(3-2) BFBFB*B",,BOS,Andrew Benintendi,Ariel Jurado,-1%,69%,Walk
b3,1-3,2,1--,"4,(3-0) B1*BBB",,BOS,J.D. Martinez,Ariel Jurado,-2%,66%,Walk; Benintendi to 2B
