Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
89,Trevor Cahill,26,ARI,32,17,0,110.2,18,5,12,1,1,.944,,,-3,-5,0,1.38,0.53,P
90,Matt Cain,29,SFG,15,15,0,90.1,26,12,12,2,1,.923,,,1,2,0,2.39,1.60,P
91,Arquimedes Caminero,27,MIA,6,0,0,6.2,2,2,0,0,0,1.000,,,0,0,0,2.70,0.33,P
92,Shawn Camp,38,PHI,3,0,0,3.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
93,Tony Campana,28,ARI,16,13,9,113.0,34,34,0,0,0,1.000,0,0,1,10,0,2.71,2.13,OF
94,Eric Campbell,27,NYM,58,36,29,373.1,199,158,39,2,21,.990,-3,-8,2,6,0,4.75,3.13,3B-1B-OF-2B-SS
95,Leonel Campos,26,SDP,6,0,0,7.0,1,0,1,0,0,1.000,,,0,0,0,1.29,0.17,P
96,Carter Capps,23,MIA,17,0,0,20.1,0,0,0,0,0,,,,-1,-10,,0.00,0.00,P
97,Buddy Carlyle,36,NYM,27,0,0,31.0,4,2,2,0,0,1.000,,,0,0,0,1.16,0.15,P
98,David Carpenter,28,ATL,65,0,0,61.0,11,5,5,1,0,.909,,,-1,-3,0,1.48,0.15,P
99,Matt Carpenter,28,STL,156,155,144,1372.2,395,91,288,16,23,.959,-1,-1,-5,-4,-2,2.48,2.40,3B-OF
100,Andrew Cashner,27,SDP,20,19,2,123.2,24,4,19,1,1,.958,0,0,3,29,0,1.67,1.15,P-OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
101,Santiago Casilla,33,SFG,54,0,0,58.1,13,3,9,1,2,.923,,,3,10,0,1.85,0.22,P
102,Welington Castillo,27,CHC,106,103,97,916.1,883,784,93,6,6,.993,3,4,-9,-12,1,8.61,8.27,C
103,Starlin Castro,24,CHC,133,133,130,1188.0,549,148,386,15,74,.973,-2,-2,-5,-5,-3,4.05,4.02,SS
104,Ronny Cedeño,31,PHI,3,2,1,17.0,9,4,5,0,1,1.000,0,7,0,0,0,4.76,3.00,3B-SS
105,Xavier Cedeño,27,WSN,9,0,0,7.0,1,0,1,0,0,1.000,,,0,0,0,1.29,0.11,P
106,Juan Centeno,24,NYM,9,8,7,70.0,69,63,4,2,0,.971,-1,-17,-2,-34,-1,8.61,7.44,C
