Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
74,Jolbert Cabrera,29,CLE,36,19,15,190.2,52,45,7,0,2,1.000,-4,-26,2.45,1.41,OF-2B
75,Mickey Callaway,27,ANA,6,6,0,34.1,10,4,4,2,1,.800,,,2.10,1.33,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
76,Mike Cameron,29,SEA,155,147,141,1318.0,426,415,6,5,0,.988,-3,-3,2.87,2.72,OF
77,Jay Canizaro,28,MIN,38,32,24,279.0,123,42,78,3,16,.976,-1,-3,3.87,3.16,2B-3B
78,Chris Carpenter,27,TOR,13,13,1,73.1,10,7,3,0,0,1.000,,,1.23,0.77,P
79,Lance Carter,27,TBD,8,0,0,20.1,4,1,3,0,1,1.000,,,1.77,0.50,P
80,Mike Caruso,25,KCR,11,4,4,52.1,30,15,14,1,1,.967,0,-7,4.99,2.64,2B-SS-3B
81,Raúl Casanova,29,BAL,2,0,0,2.0,3,3,0,0,0,1.000,0,0,13.50,1.50,C
82,Kevin Cash,24,TOR,7,4,2,38.0,31,26,4,1,1,.968,-1,-32,7.11,4.29,C
83,Scott Cassidy,26,TOR,58,0,0,66.0,9,0,8,1,0,.889,,,1.09,0.14,P
84,Alberto Castillo,32,NYY,14,12,10,103.0,103,93,9,1,0,.990,0,0,8.91,7.29,C
85,Frank Castillo,33,BOS,36,23,0,163.1,28,10,18,0,0,1.000,,,1.54,0.78,P
86,Frank Catalanotto,28,TEX,57,43,26,398.2,199,145,52,2,14,.990,-3,-10,4.45,3.08,OF-2B-1B
87,Eric Chavez,24,OAK,143,143,136,1266.0,438,120,301,17,24,.961,-2,-2,2.99,2.92,3B-OF
88,Randy Choate,26,NYY,18,0,0,22.1,3,1,2,0,0,1.000,,,1.21,0.17,P
89,Jeff Cirillo,32,SEA,146,130,113,1151.2,377,144,224,9,25,.976,9,9,2.88,2.42,3B-1B
90,Howie Clark,28,BAL,5,5,4,42.0,17,17,0,0,2,1.000,1,23,3.64,3.40,OF-1B
91,Tony Clark,30,BOS,85,70,62,638.0,717,653,58,6,54,.992,3,5,10.03,8.36,1B
92,Royce Clayton,32,CHW,109,100,95,883.1,463,166,292,5,72,.989,5,6,4.67,4.20,SS
93,Roger Clemens,39,NYY,29,29,0,180.0,29,12,17,0,0,1.000,,,1.45,1.00,P
94,Pasqual Coco,24,TOR,2,0,0,1.0,0,0,0,0,0,,,,0.00,0.00,P
95,Mike Colangelo,25,OAK,19,5,4,75.0,17,17,0,0,0,1.000,-1,-21,2.04,0.89,OF
96,Jesús Colomé,24,TBD,32,0,0,41.1,12,4,8,0,0,1.000,,,2.61,0.38,P
97,Bartolo Colón,29,CLE,16,16,4,116.1,26,7,17,2,3,.923,,,1.86,1.50,P
98,Jeff Conine,36,BAL,108,108,102,965.2,1023,955,58,10,99,.990,-4,-5,9.44,9.29,1B-OF
99,Jason Conti,27,TBD,74,59,51,545.2,177,163,8,6,1,.966,6,12,2.82,2.31,OF
100,Dennis Cook,39,ANA,37,0,0,24.0,3,2,0,1,0,.667,,,0.75,0.05,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
101,Ron Coomer,35,NYY,37,28,15,252.0,118,72,39,7,7,.941,-3,-16,3.96,3.00,3B-1B
102,Brian Cooper,27,TOR,2,2,0,8.1,2,2,0,0,0,1.000,,,2.16,1.00,P
103,Francisco Cordero,27,TEX,39,0,0,45.1,10,5,5,0,0,1.000,,,1.99,0.26,P
104,Wil Cordero,30,CLE,5,4,3,35.0,11,9,2,0,1,1.000,-1,-27,2.83,2.20,OF-1B
105,Marty Cordova,32,BAL,72,72,62,620.1,138,132,2,4,1,.971,-2,-4,1.94,1.86,OF
106,Nate Cornejo,22,DET,9,9,1,50.0,9,1,8,0,0,1.000,,,1.62,1.00,P
107,Steve Cox,27,TBD,110,110,107,967.2,944,852,85,7,101,.993,-2,-2,8.71,8.52,1B
108,Carl Crawford,20,TBD,63,63,63,561.1,166,160,5,1,1,.994,9,19,2.65,2.62,OF
109,Joe Crede,24,CHW,53,53,52,461.2,128,33,87,8,12,.938,0,1,2.34,2.26,3B
110,Doug Creek,33,TOT,52,0,0,55.2,8,3,5,0,0,1.000,,,1.29,0.15,P
111,Jack Cressend,27,MIN,23,0,0,32.0,5,2,3,0,0,1.000,,,1.41,0.22,P
112,Coco Crisp,22,CLE,32,31,28,278.1,84,82,1,1,1,.988,2,10,2.68,2.59,OF
113,Jacob Cruz,29,DET,16,12,10,110.1,42,39,2,1,1,.976,-2,-20,3.34,2.56,OF-1B
114,José Cruz,28,TOR,119,118,108,1035.1,266,255,9,2,2,.992,1,1,2.29,2.22,OF
115,Michael Cuddyer,23,MIN,37,29,15,259.1,97,80,16,1,2,.990,5,22,3.33,2.34,OF-3B-1B
116,Johnny Damon,28,BOS,151,150,143,1319.0,360,352,7,1,2,.997,3,3,2.45,2.38,OF
117,Brian Daubach,30,BOS,101,93,62,802.2,545,507,33,5,37,.991,3,4,6.05,5.00,1B-OF
118,Jeff DaVanon,28,ANA,10,4,4,50.0,13,13,0,0,0,1.000,-1,-14,2.34,1.30,OF
119,Ben Davis,25,SEA,79,55,49,544.2,448,424,23,1,5,.998,4,9,7.39,5.66,C-1B
120,Doug Davis,26,TEX,10,10,1,59.2,10,3,6,1,0,.900,,,1.36,0.90,P
