Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
134,Trace Coquillette,26,MON,29,11,5,119.0,33,5,27,1,2,.970,1,5,2.42,1.10,3B-2B-OF
135,Alex Cora,24,LAD,108,101,88,887.1,448,163,273,12,75,.973,-4,-6,4.42,4.00,SS-2B
136,Wil Cordero,28,PIT,85,83,73,743.1,115,110,3,2,0,.983,-14,-22,1.37,1.33,OF
137,Francisco Córdova,28,PIT,18,17,0,95.0,29,6,20,3,1,.897,,,2.46,1.44,P
138,Reid Cornelius,30,FLA,22,21,0,125.0,34,8,26,0,3,1.000,,,2.45,1.55,P
139,Craig Counsell,29,ARI,47,33,27,320.1,139,38,95,6,20,.957,6,21,3.74,2.46,2B-3B-SS
140,Felipe Crespo,27,SFG,41,17,6,179.2,62,57,4,1,1,.984,0,-2,3.06,1.39,OF-1B-2B
141,D.T. Cromer,29,CIN,13,5,3,59.2,55,50,3,2,8,.964,-2,-32,7.99,4.08,1B
142,Tripp Cromer,32,HOU,4,0,0,8.1,3,0,2,1,0,.667,-1,-115,2.16,0.50,SS-3B-2B
143,Rich Croushore,29,COL,6,0,0,11.1,0,0,0,0,0,,,,0.00,0.00,P
144,Iván Cruz,32,PIT,1,1,1,9.0,6,6,0,0,0,1.000,0,-40,6.00,6.00,1B
145,Will Cunnane,26,SDP,27,3,0,38.1,8,4,4,0,0,1.000,,,1.88,0.30,P
146,Jeff D'Amico,24,MIL,23,23,1,162.1,22,9,13,0,1,1.000,,,1.22,0.96,P
147,Omar Daal,28,TOT,32,28,0,167.0,43,8,31,4,1,.907,,,2.10,1.22,P
148,Vic Darensbourg,29,FLA,56,0,0,62.0,18,6,12,0,1,1.000,,,2.61,0.32,P
149,Mike Darr,24,SDP,57,52,27,472.1,131,124,7,0,1,1.000,8,19,2.50,2.30,OF
150,Tom Davey,26,SDP,11,0,0,12.2,5,1,4,0,0,1.000,,,3.55,0.45,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
151,Ben Davis,23,SDP,38,34,30,303.2,254,236,17,1,2,.996,-2,-8,7.50,6.66,C
152,Eric Davis,38,STL,69,61,35,493.0,125,120,1,4,0,.968,2,4,2.21,1.75,OF
153,Kane Davis,25,MIL,3,0,0,4.0,0,0,0,0,0,,,,0.00,0.00,P
154,Russ Davis,30,SFG,49,37,15,307.0,86,37,43,6,7,.930,-7,-27,2.35,1.63,3B-1B
155,Travis Dawkins,21,CIN,14,12,8,103.0,57,21,34,2,13,.965,1,8,4.81,3.93,SS
156,Tomás de la Rosa,22,MON,29,17,12,171.1,100,40,58,2,7,.980,-1,-9,5.15,3.38,SS
157,Valerio De Los Santos,27,MIL,66,2,0,73.2,12,4,8,0,1,1.000,,,1.47,0.18,P
158,Kory DeHaan,23,SDP,60,14,10,216.0,53,50,3,0,1,1.000,6,33,2.21,0.88,OF
159,Mike DeJean,29,COL,54,0,0,53.1,10,2,8,0,1,1.000,,,1.69,0.19,P
160,Miguel Del Toro,28,SFG,9,1,0,17.1,3,0,3,0,0,1.000,,,1.56,0.33,P
161,David Dellucci,26,ARI,12,8,2,61.2,15,15,0,0,0,1.000,0,0,2.19,1.25,OF
162,Ryan Dempster,23,FLA,33,33,2,226.1,44,11,29,4,2,.909,,,1.59,1.21,P
163,Mark DeRosa,25,ATL,10,4,2,36.1,13,6,7,0,2,1.000,-1,-40,3.22,1.30,SS
164,Elmer Dessens,29,CIN,40,16,1,147.1,36,10,26,0,3,1.000,,,2.20,0.90,P
165,Jerry Dipoto,32,COL,17,0,0,13.2,2,0,2,0,0,1.000,,,1.32,0.12,P
166,Chris Donnels,34,LAD,11,6,2,58.0,31,29,1,1,2,.968,0,-6,4.66,2.31,OF-1B-3B-2B
167,Octavio Dotel,26,HOU,50,16,0,125.0,19,4,14,1,1,.947,,,1.30,0.36,P
168,Scott Downs,24,TOT,19,19,0,97.0,14,3,11,0,1,1.000,,,1.30,0.74,P
169,Darren Dreifort,28,LAD,32,32,1,192.2,56,19,36,1,2,.982,,,2.57,1.72,P
170,J.D. Drew,24,STL,127,108,79,988.1,263,248,6,9,2,.966,10,13,2.31,2.00,OF
171,Rob Ducey,35,PHI,33,21,12,189.0,47,43,1,3,0,.936,0,2,2.10,1.33,OF
172,Shawon Dunston,37,STL,71,42,21,383.2,122,110,10,2,6,.984,4,12,2.81,1.56,OF-SS-1B-3B
173,Erubiel Durazo,26,ARI,60,56,37,471.2,450,422,23,5,36,.989,-2,-6,8.49,7.42,1B
174,Adam Eaton,22,SDP,22,22,0,135.0,26,7,18,1,2,.962,,,1.67,1.14,P
175,Angel Echevarria,29,TOT,17,4,2,64.1,36,32,4,0,5,1.000,0,7,5.04,2.12,1B-OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
176,Jim Edmonds,30,STL,149,144,125,1252.2,410,392,14,4,8,.990,2,2,2.92,2.67,OF-1B
177,Scott Elarton,24,HOU,30,30,2,192.2,35,14,21,0,4,1.000,,,1.63,1.17,P
178,Kevin Elster,35,LAD,64,59,50,521.2,229,66,149,14,25,.939,-7,-15,3.71,3.36,SS-3B-1B
179,Alan Embree,30,SFG,63,0,0,60.0,9,0,9,0,3,1.000,,,1.35,0.14,P
180,Morgan Ensberg,24,HOU,1,1,1,9.0,3,1,1,1,0,.667,-1,-80,2.00,2.00,3B
181,Todd Erdos,26,SDP,22,0,0,29.2,5,1,4,0,0,1.000,,,1.52,0.23,P
182,Bobby Estalella,25,SFG,106,89,78,791.1,708,654,49,5,14,.993,-1,-2,8.00,6.63,C
183,Shawn Estes,27,SFG,30,30,4,190.1,56,11,43,2,7,.964,,,2.55,1.80,P
184,Horacio Estrada,24,MIL,7,4,0,24.1,8,1,6,1,0,.875,,,2.59,1.00,P
185,Tony Eusebio,33,HOU,68,61,49,536.2,433,411,17,5,2,.988,-4,-9,7.18,6.29,C
186,Kyle Farnsworth,24,CHC,46,5,0,77.0,12,4,6,2,1,.833,,,1.17,0.22,P
187,Pedro Feliz,25,SFG,4,0,0,8.0,0,0,0,0,0,,0,-30,0.00,0.00,3B
188,Alex Fernandez,30,FLA,8,8,0,52.1,14,6,8,0,1,1.000,,,2.41,1.75,P
189,Osvaldo Fernández,33,CIN,15,14,1,79.2,18,6,10,2,3,.889,,,1.81,1.07,P
190,Mike Fetters,35,LAD,51,0,0,50.0,14,7,7,0,2,1.000,,,2.52,0.27,P
191,Nelson Figueroa,26,ARI,3,3,0,15.2,3,1,2,0,0,1.000,,,1.72,1.00,P
192,Steve Finley,35,ARI,148,145,136,1283.2,355,342,10,3,2,.992,-3,-3,2.47,2.38,OF
193,Cliff Floyd,27,FLA,108,107,76,889.2,184,168,7,9,0,.951,-7,-9,1.77,1.62,OF
194,Scott Forster,28,MON,42,0,0,32.0,8,3,5,0,0,1.000,,,2.25,0.19,P
195,Andy Fox,29,TOT,79,59,47,549.2,229,72,144,13,23,.943,-2,-3,3.54,2.45,SS-3B-OF-2B-1B
196,John Franco,39,NYM,62,0,0,55.2,10,1,8,1,0,.900,,,1.46,0.15,P
197,Matt Franco,30,NYM,52,16,12,207.2,130,100,26,4,10,.969,0,-1,5.46,2.33,1B-3B-OF-2B
198,Wayne Franklin,26,HOU,25,0,0,21.1,2,1,1,0,0,1.000,,,0.84,0.08,P
199,Hanley Frias,26,ARI,39,19,16,208.0,93,29,59,5,16,.946,0,-1,3.81,2.05,SS-2B-3B
200,Jeff Frye,33,COL,27,18,14,169.1,96,37,58,1,16,.990,2,14,5.05,3.39,2B-3B
