Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
46,Mike Brosseau,29,MIL,0,0,,3.86,3,0,3,0,0,0,2.1,1,1,1,1,1,0,0,0,0,0,9,128,10.11,0.857,3.9,3.9,3.9,0.0,0.00
47,Justin Bruihl*,26,TOT,1,0,1.000,5.46,27,0,13,0,0,0,28.0,28,18,17,2,11,2,22,3,0,2,121,83,4.11,1.393,9.0,0.6,3.5,7.1,2.00
48,Justin Bruihl*,26,LAD,1,0,1.000,4.07,20,0,9,0,0,0,24.1,24,11,11,2,8,1,19,2,0,2,102,108,3.99,1.315,8.9,0.7,3.0,7.0,2.38
49,Justin Bruihl*,26,COL,0,0,,14.73,7,0,4,0,0,0,3.2,4,7,6,0,3,1,3,1,0,0,19,37,4.89,1.909,9.8,0.0,7.4,7.4,1.00
50,J.B. Bukauskas,26,MIL,0,0,,0.00,5,0,2,0,0,0,6.0,4,0,0,0,1,0,6,1,0,0,23,,2.26,0.833,6.0,0.0,1.5,9.0,6.00
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
51,Madison Bumgarner*,33,ARI,0,3,.000,10.26,4,4,0,0,0,0,16.2,25,20,19,4,15,0,10,1,0,0,90,43,8.06,2.400,13.5,2.2,8.1,5.4,0.67
52,Nick Burdi,30,CHC,0,0,,9.00,3,0,2,0,0,0,3.0,3,3,3,0,3,0,4,0,0,1,15,55,3.59,2.000,9.0,0.0,9.0,12.0,1.33
53,Alec Burleson*,24,STL,0,0,,21.60,2,0,2,0,0,0,1.2,8,4,4,1,0,0,1,0,0,0,13,24,9.86,4.800,43.2,5.4,0.0,5.4,
54,Corbin Burnes,28,MIL,10,8,.556,3.39,32,32,0,0,0,0,193.2,141,77,73,22,66,0,200,8,1,10,784,127,3.81,1.069,6.6,1.0,3.1,9.3,3.03
55,Alan Busenitz,32,CIN,0,0,,2.57,6,0,5,0,0,0,7.0,8,2,2,0,1,1,5,0,0,0,29,186,2.26,1.286,10.3,0.0,1.3,6.4,5.00
56,Matt Bush,37,MIL,0,2,.000,9.58,12,0,4,0,0,1,10.1,11,11,11,5,6,0,10,0,0,0,48,46,9.35,1.645,9.6,4.4,5.2,8.7,1.67
57,José Butto,25,NYM,1,4,.200,3.64,9,7,0,0,0,0,42.0,33,17,17,3,23,0,38,0,0,0,179,117,4.02,1.333,7.1,0.6,4.9,8.1,1.65
58,Edward Cabrera,25,MIA,7,7,.500,4.24,22,20,0,0,0,0,99.2,78,48,47,11,66,0,118,4,3,1,434,106,4.43,1.445,7.0,1.0,6.0,10.7,1.79
59,Génesis Cabrera*,26,STL,1,1,.500,5.06,32,0,10,0,0,0,32.0,32,18,18,6,18,0,38,0,1,0,143,87,5.01,1.563,9.0,1.7,5.1,10.7,2.11
60,Blair Calvo,27,COL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.26,0.000,0.0,0.0,0.0,0.0,
61,Matt Carasiti,31,COL,1,0,1.000,6.29,16,0,2,0,0,1,24.1,28,19,17,3,11,0,16,1,0,1,110,81,5.02,1.603,10.4,1.1,4.1,5.9,1.45
62,Drew Carlton,27,SDP,2,1,.667,4.35,11,0,1,0,0,0,20.2,18,12,10,2,6,0,18,1,0,1,85,95,3.79,1.161,7.8,0.9,2.6,7.8,3.00
63,Carlos Carrasco,36,NYM,3,8,.273,6.80,20,20,0,0,0,0,90.0,115,71,68,18,38,0,66,6,1,3,417,62,5.86,1.700,11.5,1.8,3.8,6.6,1.74
64,Daniel Castano*,28,MIA,0,0,,21.00,2,0,1,0,0,0,3.0,7,8,7,2,3,0,4,0,0,0,20,24,12.26,3.333,21.0,6.0,9.0,12.0,1.33
65,José Castillo*,27,SDP,0,0,,108.00,1,0,0,0,0,0,0.1,2,4,4,0,2,0,0,1,0,0,6,8,30.26,12.000,54.0,0.0,54.0,0.0,0.00
66,Harold Castro,29,COL,0,0,,9.00,2,0,2,0,0,0,2.0,4,2,2,0,1,0,0,1,0,0,11,65,6.26,2.500,18.0,0.0,4.5,0.0,0.00
67,Miguel Castro,28,ARI,6,6,.500,4.31,75,0,21,0,0,7,64.2,51,32,31,8,25,3,60,3,0,0,268,101,4.31,1.175,7.1,1.1,3.5,8.4,2.40
68,Slade Cecconi,24,ARI,0,1,.000,4.33,7,4,0,0,0,0,27.0,27,13,13,4,4,0,20,2,0,0,111,101,4.37,1.148,9.0,1.3,1.3,6.7,5.00
69,Luis Cessa,31,CIN,1,4,.200,9.00,7,6,0,0,0,0,26.0,46,26,26,3,12,0,11,1,0,2,132,51,5.41,2.231,15.9,1.0,4.2,3.8,0.92
70,Andrew Chafin*,33,TOT,3,4,.429,4.73,63,0,19,0,0,8,51.1,45,30,27,6,28,0,63,1,0,2,224,93,4.01,1.422,7.9,1.1,4.9,11.0,2.25
71,Andrew Chafin*,33,ARI,2,3,.400,4.19,43,0,14,0,0,8,34.1,31,17,16,3,18,0,49,0,0,1,150,105,3.11,1.427,8.1,0.8,4.7,12.8,2.72
72,Andrew Chafin*,33,MIL,1,1,.500,5.82,20,0,5,0,0,0,17.0,14,13,11,3,10,0,14,1,0,1,74,75,5.84,1.412,7.4,1.6,5.3,7.4,1.40
73,JT Chargois,32,MIA,1,0,1.000,3.61,46,5,8,0,0,1,42.1,35,17,17,3,18,1,35,0,0,0,174,125,3.80,1.252,7.4,0.6,3.8,7.4,1.94
74,Jesse Chavez,39,ATL,1,0,1.000,1.56,36,1,7,0,0,1,34.2,26,10,6,2,12,0,39,3,0,0,144,287,3.05,1.096,6.8,0.5,3.1,10.1,3.25
75,Yonny Chirinos,29,ATL,1,1,.500,9.27,5,5,0,0,0,0,22.1,33,23,23,5,7,0,22,1,0,1,105,49,5.27,1.791,13.3,2.0,2.8,8.9,3.14
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
76,Alex Claudio*,31,MIL,0,0,,0.00,1,0,0,0,0,0,0.1,2,0,0,0,0,0,0,0,0,0,3,,3.26,6.000,54.0,0.0,0.0,0.0,
77,Kody Clemens,27,PHI,0,0,,3.38,4,0,4,0,0,0,2.2,4,1,1,0,3,0,1,0,0,0,15,144,5.88,2.625,13.5,0.0,10.1,3.4,0.33
78,Alex Cobb,35,SFG,7,7,.500,3.87,28,28,0,2,1,0,151.1,163,69,65,19,37,0,131,6,5,7,646,109,4.01,1.322,9.7,1.1,2.2,7.8,3.54
79,Roansy Contreras,23,PIT,3,7,.300,6.59,19,11,1,0,0,1,68.1,75,50,50,11,32,1,55,1,0,3,302,68,5.19,1.566,9.9,1.4,4.2,7.2,1.72
80,Sam Coonrod,30,NYM,0,0,,9.45,10,0,2,0,0,0,6.2,5,7,7,0,8,0,6,2,0,1,34,47,5.96,1.950,6.8,0.0,10.8,8.1,0.75
81,Patrick Corbin*,33,WSN,10,15,.400,5.20,32,32,0,0,0,0,180.0,210,113,104,33,57,0,124,4,0,6,790,83,5.28,1.483,10.5,1.7,2.9,6.2,2.18
82,Tom Cosgrove*,27,SDP,1,2,.333,1.75,54,0,16,0,0,1,51.1,31,12,10,3,19,1,44,5,0,1,205,234,3.70,0.974,5.4,0.5,3.3,7.7,2.32
83,Jake Cousins,28,MIL,0,0,,4.82,9,0,4,0,0,0,9.1,10,5,5,1,10,0,7,0,0,2,45,93,6.36,2.143,9.6,1.0,9.6,6.8,0.70
84,Dylan Covey,31,TOT,1,3,.250,3.77,29,1,19,0,0,0,43.0,48,22,18,5,17,1,30,2,0,0,191,116,4.70,1.512,10.0,1.0,3.6,6.3,1.76
85,Dylan Covey,31,LAD,0,0,,4.50,1,0,0,0,0,0,4.0,5,2,2,2,1,0,3,0,0,0,18,105,9.01,1.500,11.3,4.5,2.3,6.8,3.00
86,Dylan Covey,31,PHI,1,3,.250,3.69,28,1,19,0,0,0,39.0,43,20,16,3,16,1,27,2,0,0,173,117,4.26,1.513,9.9,0.7,3.7,6.2,1.69
87,Brandon Crawford,36,SFG,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,,6.26,2.000,9.0,0.0,9.0,0.0,0.00
88,Nabil Crismatt,28,TOT,0,2,.000,8.31,8,0,4,0,0,0,13.0,19,13,12,3,7,0,12,1,1,2,65,52,6.26,2.000,13.2,2.1,4.8,8.3,1.71
89,Nabil Crismatt,28,SDP,0,1,.000,9.82,7,0,3,0,0,0,11.0,17,12,12,3,7,0,9,1,0,2,57,43,7.35,2.182,13.9,2.5,5.7,7.4,1.29
90,Nabil Crismatt,28,ARI,0,1,.000,0.00,1,0,1,0,0,0,2.0,2,1,0,0,0,0,3,0,1,0,8,,0.26,1.000,9.0,0.0,0.0,13.5,
91,Wil Crowe,28,PIT,0,1,.000,4.66,5,0,2,0,0,1,9.2,9,6,5,1,9,1,9,1,0,2,47,99,5.84,1.862,8.4,0.9,8.4,8.4,1.00
92,Fernando Cruz,33,CIN,1,2,.333,4.91,58,2,15,0,0,0,66.0,52,39,36,6,28,0,98,2,0,5,279,93,2.83,1.212,7.1,0.8,3.8,13.4,3.50
93,José Cuas,29,CHC,0,2,.000,3.04,27,1,7,0,0,1,23.2,17,9,8,2,14,0,19,3,0,3,100,149,4.90,1.310,6.5,0.8,5.3,7.2,1.36
94,Johnny Cueto,37,MIA,1,4,.200,6.02,13,10,1,0,0,0,52.1,51,36,35,17,15,0,39,3,0,0,218,75,7.02,1.261,8.8,2.9,2.6,6.7,2.60
95,John Curtiss,30,NYM,0,0,,4.58,15,0,4,0,0,0,19.2,17,10,10,3,8,0,16,0,0,0,81,94,4.83,1.271,7.8,1.4,3.7,7.3,2.00
96,Tyler Cyr,30,LAD,0,0,,0.00,2,0,2,0,0,0,1.2,1,0,0,0,0,0,2,0,0,0,6,,0.86,0.600,5.4,0.0,0.0,10.8,
97,Yu Darvish,36,SDP,8,10,.444,4.56,24,24,0,0,0,0,136.1,134,71,69,18,43,0,141,8,1,1,574,90,4.03,1.298,8.8,1.2,2.8,9.3,3.28
98,Zach Davies,30,ARI,2,5,.286,7.00,18,18,0,0,0,0,82.1,98,67,64,10,39,0,72,2,0,0,377,62,4.58,1.664,10.7,1.1,4.3,7.9,1.85
99,Noah Davis,26,COL,0,4,.000,8.70,8,6,1,0,0,0,30.0,43,30,29,6,15,0,26,4,1,4,146,59,6.02,1.933,12.9,1.8,4.5,7.8,1.73
100,Enmanuel De Jesus*,26,MIA,0,0,,11.37,2,0,2,0,0,0,6.1,9,8,8,0,4,0,5,3,0,0,34,41,4.99,2.053,12.8,0.0,5.7,7.1,1.25
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
101,Chase De Jong,29,PIT,0,0,,13.50,6,0,2,0,0,0,11.1,18,17,17,6,6,0,7,2,0,1,60,34,11.02,2.118,14.3,4.8,4.8,5.6,1.17
102,Yerry De Los Santos,25,PIT,1,1,.500,3.33,22,0,8,0,0,0,24.1,17,10,9,1,13,3,18,1,0,0,104,135,4.04,1.233,6.3,0.4,4.8,6.7,1.38
103,Anthony DeSclafani,33,SFG,4,8,.333,4.88,19,18,0,0,0,0,99.2,105,59,54,15,20,0,79,4,0,3,419,87,4.35,1.254,9.5,1.4,1.8,7.1,3.95
104,Alexis Díaz,26,CIN,9,6,.600,3.07,71,0,51,0,0,37,67.1,44,30,23,4,36,0,86,10,0,3,286,149,3.52,1.188,5.9,0.5,4.8,11.5,2.39
105,Brandon Dixon,31,SDP,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.26,0.000,0.0,0.0,0.0,0.0,
106,Dylan Dodd*,25,ATL,2,2,.500,7.60,7,7,0,0,0,0,34.1,53,29,29,9,12,1,15,1,0,1,164,59,6.92,1.893,13.9,2.4,3.1,3.9,1.25
107,Seranthony Domínguez,28,PHI,5,5,.500,3.78,57,0,7,0,0,2,50.0,48,25,21,7,22,0,48,6,1,1,224,114,4.84,1.400,8.6,1.3,4.0,8.6,2.18
108,Camilo Doval,25,SFG,6,6,.500,2.93,69,0,60,0,0,39,67.2,51,32,22,3,26,6,87,8,3,10,281,145,2.77,1.138,6.8,0.4,3.5,11.6,3.35
109,Tommy Doyle,27,COL,0,1,.000,6.85,15,0,1,0,0,0,23.2,23,18,18,5,13,0,18,0,0,3,103,75,6.13,1.521,8.7,1.9,4.9,6.8,1.38
110,Daniel Duarte,26,CIN,3,0,1.000,3.69,31,0,8,0,0,1,31.2,24,14,13,5,20,0,23,1,0,1,136,125,5.84,1.389,6.8,1.4,5.7,6.5,1.15
111,Tyler Duffey,32,CHC,0,0,,4.50,1,0,0,0,0,0,2.0,1,1,1,1,0,0,3,0,0,0,7,116,6.76,0.500,4.5,4.5,0.0,13.5,
112,Carl Edwards Jr.,31,WSN,1,3,.250,3.69,32,0,3,0,0,2,31.2,31,14,13,1,17,2,24,1,0,2,142,118,3.86,1.516,8.8,0.3,4.8,6.8,1.41
113,Bryce Elder,24,ATL,12,4,.750,3.81,31,31,0,0,0,0,174.2,160,79,74,19,63,0,128,8,1,11,732,116,4.42,1.277,8.2,1.0,3.2,6.6,2.03
114,Jose Espada,26,SDP,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,2,0,2,0,0,0,5,,5.26,2.000,0.0,0.0,18.0,18.0,1.00
115,Paolo Espino,36,WSN,0,0,,24.75,3,0,1,0,0,0,4.0,14,11,11,1,3,0,3,0,0,0,28,19,7.26,4.250,31.5,2.3,6.8,6.8,1.00
116,Jeremiah Estrada,24,CHC,0,0,,6.75,12,0,5,0,0,0,10.2,12,8,8,4,12,1,13,0,0,0,56,68,9.07,2.250,10.1,3.4,10.1,11.0,1.08
117,Bailey Falter*,26,TOT,2,9,.182,5.36,18,14,1,0,0,0,80.2,94,55,48,17,20,0,60,0,0,0,347,82,5.25,1.413,10.5,1.9,2.2,6.7,3.00
118,Bailey Falter*,26,PHI,0,7,.000,5.13,8,7,0,0,0,0,40.1,50,30,23,7,8,0,28,0,0,0,175,84,4.72,1.438,11.2,1.6,1.8,6.2,3.50
119,Bailey Falter*,26,PIT,2,2,.500,5.58,10,7,1,0,0,0,40.1,44,25,25,10,12,0,32,0,0,0,172,80,5.78,1.388,9.8,2.2,2.7,7.1,2.67
120,Buck Farmer,32,CIN,4,5,.444,4.20,71,0,10,0,0,3,75.0,58,36,35,11,29,0,70,4,0,1,309,109,4.62,1.160,7.0,1.3,3.5,8.4,2.41
121,Ryan Feltner,26,COL,2,4,.333,5.82,10,10,0,0,0,0,43.1,45,29,28,2,28,0,38,2,2,0,201,87,4.18,1.685,9.3,0.4,5.8,7.9,1.36
122,Caleb Ferguson*,26,LAD,7,4,.636,3.43,68,7,9,0,0,3,60.1,64,30,23,4,23,0,70,8,0,3,270,127,3.34,1.442,9.5,0.6,3.4,10.4,3.04
123,Jose Ferrer*,23,WSN,3,0,1.000,5.03,39,0,6,0,0,0,34.0,37,19,19,4,13,2,25,1,0,0,142,86,4.55,1.471,9.8,1.1,3.4,6.6,1.92
124,Kyle Finnegan,31,WSN,7,5,.583,3.76,67,0,46,0,0,28,69.1,66,33,29,11,24,1,63,1,0,0,288,115,4.58,1.298,8.6,1.4,3.1,8.2,2.63
125,Jack Flaherty,27,STL,7,6,.538,4.43,20,20,0,0,0,0,109.2,116,56,54,10,54,0,106,8,0,6,485,98,4.20,1.550,9.5,0.8,4.4,8.7,1.96
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
126,Chris Flexen,28,COL,2,4,.333,6.27,12,12,0,0,0,0,60.1,74,45,42,14,19,0,45,4,0,4,270,81,5.92,1.541,11.0,2.1,2.8,6.7,2.37
127,Dylan Floro,32,MIA,3,5,.375,4.54,43,0,13,0,0,7,39.2,48,24,20,2,11,3,41,1,0,1,171,99,2.75,1.487,10.9,0.5,2.5,9.3,3.73
128,Kyle Freeland*,30,COL,6,14,.300,5.03,29,29,0,0,0,0,155.2,187,96,87,29,42,0,94,1,0,2,677,100,5.30,1.471,10.8,1.7,2.4,5.4,2.24
129,Luis Frías,25,ARI,1,0,1.000,4.06,29,0,7,0,0,0,31.0,30,14,14,3,17,0,26,2,0,1,139,108,4.67,1.516,8.7,0.9,4.9,7.5,1.53
130,Max Fried*,29,ATL,8,1,.889,2.55,14,14,0,1,1,0,77.2,70,24,22,7,18,0,80,2,0,3,311,174,3.14,1.133,8.1,0.8,2.1,9.3,4.44
131,Michael Fulmer,30,CHC,3,5,.375,4.42,58,1,14,0,0,2,57.0,48,29,28,7,28,0,65,2,0,5,237,102,4.15,1.333,7.6,1.1,4.4,10.3,2.32
132,Giovanny Gallegos,31,STL,2,4,.333,4.42,56,0,16,0,0,10,55.0,54,28,27,11,12,0,59,0,1,3,229,99,4.36,1.200,8.8,1.8,2.0,9.7,4.92
133,Zac Gallen,27,ARI,17,9,.654,3.47,34,34,0,1,1,0,210.0,188,87,81,22,47,0,220,5,1,8,846,125,3.26,1.119,8.1,0.9,2.0,9.4,4.68
134,Luis García,36,SDP,2,3,.400,4.07,61,0,26,0,0,0,59.2,59,30,27,6,24,1,53,6,0,4,267,101,4.29,1.391,8.9,0.9,3.6,8.0,2.21
135,Rico Garcia,29,WSN,0,0,,12.00,3,0,0,0,0,0,3.0,6,4,4,1,1,0,4,0,0,1,16,40,5.92,2.333,18.0,3.0,3.0,12.0,4.00
136,Robert Garcia*,27,TOT,2,2,.500,3.66,25,0,3,0,0,0,32.0,26,16,13,3,12,2,33,0,0,2,127,120,3.54,1.188,7.3,0.8,3.4,9.3,2.75
137,Robert Garcia*,27,MIA,0,0,,0.00,1,0,0,0,0,0,0.1,1,0,0,0,1,0,0,0,0,0,3,,12.26,6.000,27.0,0.0,27.0,0.0,0.00
