Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
67,Dave Borkowski,29,HOU,40,0,0,71.0,15,8,7,0,1,1.000,,,1,3,0,1.90,0.38,P
68,Joe Borowski,35,FLA,72,0,0,69.2,5,1,3,1,0,.800,,,-1,-3,0,0.52,0.06,P
69,Michael Bourn,23,PHI,15,0,0,36.1,8,8,0,0,0,1.000,-1,-17,0,0,0,1.98,0.53,OF
70,Rob Bowen,25,SDP,66,8,7,203.0,160,145,14,1,1,.994,-3,-18,-1,-4,-1,7.05,2.41,C-1B
71,Micah Bowie,31,WSN,15,0,0,19.2,5,1,4,0,0,1.000,,,1,10,0,2.29,0.33,P
72,Blaine Boyer,24,ATL,2,0,0,0.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
73,Chad Bradford,31,NYM,70,0,0,62.0,13,3,10,0,0,1.000,,,-1,-3,0,1.89,0.19,P
74,Russell Branyan,30,SDP,26,24,12,181.2,45,14,28,3,3,.933,-2,-10,-1,-5,0,2.08,1.62,3B
75,Bill Bray,23,TOT,48,0,0,50.2,8,1,6,1,0,.875,,,-1,-23,0,1.24,0.15,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
76,Dewon Brazelton,26,SDP,9,2,0,18.0,3,0,2,1,0,.667,,,1,11,0,1.00,0.22,P
77,Yhency Brazobán,26,LAD,5,0,0,5.0,1,1,0,0,0,1.000,,,0,0,0,1.80,0.20,P
78,Eude Brito,27,PHI,5,2,0,18.1,4,2,2,0,0,1.000,,,0,0,0,1.96,0.80,P
79,Doug Brocail,39,SDP,25,0,0,28.1,13,9,4,0,1,1.000,,,0,0,0,4.13,0.52,P
80,Jim Brower,33,SDP,6,0,0,7.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
81,Jonathan Broxton,22,LAD,68,0,0,76.1,5,0,5,0,0,1.000,,,-2,-5,0,0.59,0.07,P
82,Eric Bruntlett,28,HOU,60,22,17,273.2,136,52,77,7,14,.949,0,0,4,17,0,4.24,2.02,SS-OF-2B-3B
83,Taylor Buchholz,24,HOU,22,19,1,113.0,23,15,8,0,0,1.000,,,-1,-2,0,1.83,1.05,P
84,Chris Burke,26,HOU,114,87,58,812.1,300,166,127,7,27,.977,-3,-4,-11,-16,-2,3.25,2.12,OF-2B-SS
85,Jeromy Burnitz,37,PIT,84,79,54,643.0,123,120,1,2,0,.984,-6,-12,-10,-18,2,1.69,1.44,OF
86,Mike Burns,27,CIN,11,0,0,13.1,3,1,2,0,0,1.000,,,-1,-15,0,2.03,0.27,P
87,Pat Burrell,29,PHI,126,126,55,987.2,215,204,8,3,1,.986,-8,-9,-30,-36,-2,1.93,1.68,OF
88,Dave Bush,26,MIL,34,32,3,210.0,46,16,29,1,2,.978,,,0,0,0,1.93,1.32,P
89,Freddie Bynum,26,CHC,37,22,17,230.1,100,61,32,7,7,.930,-1,-6,-5,-26,-1,3.63,2.51,2B-OF
90,Marlon Byrd,28,WSN,71,51,38,483.0,153,150,1,2,0,.987,-8,-20,16,39,8,2.81,2.13,OF
91,Eric Byrnes,30,ARI,137,130,114,1180.1,303,297,5,1,1,.997,9,9,-2,-2,2,2.30,2.20,OF
92,Miguel Cabrera,23,FLA,157,157,134,1334.0,397,114,266,17,33,.957,-6,-5,-10,-9,0,2.56,2.42,3B
93,Matt Cain,21,SFG,32,31,1,190.2,35,17,15,3,0,.914,,,-2,-2,0,1.51,1.00,P
94,Alberto Callaspo,23,ARI,8,6,5,65.0,35,12,21,2,4,.943,1,9,1,24,0,4.57,3.67,SS-2B-3B
95,Mike Cameron,33,SDP,141,139,134,1244.0,379,367,6,6,2,.984,9,9,0,0,-4,2.70,2.65,OF
96,Brett Campbell,24,WSN,4,0,0,4.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
97,José Capellán,25,MIL,61,0,0,71.2,7,0,7,0,0,1.000,,,-1,-3,0,0.88,0.11,P
98,Matt Capps,22,PIT,85,0,0,80.2,16,4,10,2,0,.875,,,-1,-2,0,1.56,0.16,P
99,Chris Capuano,27,MIL,34,34,3,221.1,47,14,31,2,1,.957,,,6,5,1,1.83,1.32,P
100,Chris Carpenter,31,STL,32,32,5,221.2,36,11,25,0,3,1.000,,,4,4,0,1.46,1.13,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
101,Giovanni Carrara,38,LAD,25,0,0,27.2,4,2,2,0,0,1.000,,,-1,-7,0,1.30,0.16,P
102,Jamey Carroll,32,COL,121,110,97,984.2,632,198,429,5,106,.992,27,33,19,23,2,5.73,4.94,2B-SS-3B
103,Lance Carter,31,LAD,10,0,0,11.2,4,0,4,0,0,1.000,,,1,17,0,3.09,0.40,P
104,Sean Casey,31,PIT,55,55,48,461.1,491,471,20,0,44,1.000,-1,-3,-7,-18,-1,9.58,8.93,1B
105,Scott Cassidy,30,SDP,42,0,0,42.2,8,1,7,0,0,1.000,,,2,9,0,1.69,0.19,P
106,Vinny Castilla,38,TOT,77,67,58,605.0,194,74,115,5,11,.974,1,3,-2,-3,0,2.81,2.45,3B-1B
107,José Castillo,25,PIT,145,141,134,1235.0,712,344,350,18,106,.975,-15,-14,-11,-11,0,5.06,4.79,2B
108,Bernie Castro,26,WSN,30,24,23,232.0,125,65,58,2,13,.984,-3,-16,-4,-20,0,4.77,3.97,2B-OF
