Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
142,Alan Embree,31,CHW,39,0,0,34.0,5,2,3,0,1,1.000,,,1.32,0.13,P
143,Juan Encarnación,25,DET,116,114,107,1003.1,258,247,5,6,0,.977,-10,-12,2.26,2.17,OF
144,Todd Erdos,27,BOS,10,0,0,16.1,2,1,1,0,1,1.000,,,1.10,0.20,P
145,Darin Erstad,27,ANA,153,153,135,1340.2,480,462,17,1,11,.998,14,13,3.22,3.03,OF-1B
146,Kelvim Escobar,25,TOR,59,11,1,126.0,15,6,8,1,0,.933,,,1.00,0.24,P
147,Bobby Estalella,26,NYY,3,1,1,14.0,15,14,1,0,0,1.000,0,0,9.64,5.00,C
148,Carl Everett,30,BOS,93,92,86,819.0,194,185,4,5,1,.974,-8,-12,2.08,2.03,OF
149,Scott Eyre,29,TOR,17,0,0,15.2,2,0,2,0,0,1.000,,,1.15,0.12,P
150,Jorge Fábregas,31,ANA,53,42,32,372.1,293,267,23,3,3,.990,1,3,7.01,5.47,C
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
151,Sal Fasano,29,TOT,12,6,3,61.0,44,39,3,2,0,.955,0,0,6.20,3.50,C
152,Carlos Febles,25,KCR,78,73,68,649.1,359,128,224,7,62,.981,2,4,4.88,4.51,2B
153,José Fernández,26,ANA,3,0,0,4.0,1,0,0,1,0,.000,-1,-210,0.00,0.00,1B-3B
154,Robert Fick,27,DET,103,95,68,815.0,642,596,39,7,13,.989,-3,-4,7.01,5.67,C-1B-OF
155,Bob File,24,TOR,60,0,0,74.1,19,7,11,1,1,.947,,,2.18,0.30,P
156,Chuck Finley,38,CLE,22,22,1,113.2,16,2,11,3,0,.813,,,1.03,0.59,P
