Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
201,Cliff Floyd,28,FLA,142,140,123,1212.0,285,269,8,8,2,.972,12,12,2.06,1.95,OF
202,P.J. Forbes,33,PHI,1,1,1,9.0,4,2,2,0,0,1.000,0,27,4.00,4.00,2B
203,Andy Fox,30,FLA,25,17,14,157.2,69,25,41,3,10,.957,0,3,3.77,2.64,SS-3B-2B-OF
204,Chad Fox,30,MIL,65,0,0,66.2,11,4,6,1,0,.909,,,1.35,0.15,P
205,John Franco,40,NYM,58,0,0,53.1,9,1,7,1,0,.889,,,1.35,0.14,P
206,Julio Franco,42,ATL,23,22,19,188.0,198,181,16,1,20,.995,4,28,9.43,8.57,1B
207,Wayne Franklin,27,HOU,11,0,0,12.0,2,0,2,0,0,1.000,,,1.50,0.18,P
208,Aaron Fultz,27,SFG,66,0,0,71.0,18,4,14,0,1,1.000,,,2.28,0.27,P
209,Rafael Furcal,23,ATL,79,79,75,694.1,361,126,224,11,49,.970,-2,-3,4.54,4.43,SS
210,Mike Fyhrie,31,CHC,15,0,0,15.0,6,2,4,0,1,1.000,,,3.60,0.40,P
211,Éric Gagné,25,LAD,33,24,0,151.2,22,10,11,1,0,.955,,,1.25,0.64,P
212,Andrés Galarraga,40,SFG,41,36,27,322.2,306,288,13,5,38,.984,-5,-19,8.40,7.34,1B
213,Gus Gandarillas,29,MIL,16,0,0,19.2,5,2,3,0,1,1.000,,,2.29,0.31,P
214,Ron Gant,36,COL,51,48,29,388.0,86,81,2,3,0,.965,1,4,1.93,1.63,OF
215,Jesse Garcia,27,ATL,6,0,0,12.1,6,3,3,0,1,1.000,0,0,4.38,1.00,2B-SS
216,Mark Gardner,39,SFG,23,15,0,91.2,12,2,10,0,0,1.000,,,1.18,0.52,P
217,Brian Giles,30,PIT,159,159,120,1359.1,324,307,7,10,2,.969,-7,-6,2.08,1.97,OF
218,Marcus Giles,23,ATL,62,59,52,518.0,276,104,166,6,31,.978,3,6,4.69,4.35,2B
219,Bernard Gilkey,34,ATL,36,18,9,182.1,40,40,0,0,0,1.000,1,5,1.97,1.11,OF
220,Joe Girardi,36,CHC,71,61,56,552.0,537,504,33,0,2,1.000,5,11,8.76,7.56,C
221,Doug Glanville,30,PHI,150,147,142,1310.2,425,413,8,4,3,.991,20,18,2.89,2.81,OF
222,Tom Glavine,35,ATL,35,35,1,219.1,52,12,40,0,2,1.000,,,2.13,1.49,P
223,Wayne Gomes,28,TOT,55,0,0,63.0,7,2,5,0,0,1.000,,,1.00,0.13,P
224,Chris Gomez,30,SDP,39,31,21,280.0,115,40,69,6,19,.948,-7,-32,3.50,2.48,SS-2B
225,Álex González,24,FLA,142,139,131,1220.1,642,220,396,26,101,.960,-3,-2,4.54,4.34,SS
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
226,Dicky Gonzalez,22,NYM,16,7,0,59.0,12,4,8,0,0,1.000,,,1.83,0.75,P
227,Luis Gonzalez,33,ARI,161,161,145,1416.2,288,280,8,0,1,1.000,5,4,1.83,1.79,OF
228,Raúl González,27,CIN,2,2,2,17.0,4,4,0,0,0,1.000,0,28,2.12,2.00,OF
229,Wiki González,27,SDP,47,37,25,330.1,270,246,21,3,3,.989,-1,-4,7.27,5.68,C
230,Tom Goodwin,32,LAD,78,69,57,610.1,155,153,1,1,0,.994,-3,-7,2.27,1.97,OF
231,Tom Gordon,33,CHC,47,0,0,45.1,2,1,1,0,0,1.000,,,0.40,0.04,P
232,Mark Grace,37,ARI,135,127,111,1111.0,1062,995,62,5,99,.995,5,6,8.56,7.83,1B
233,Danny Graves,27,CIN,66,0,0,80.1,27,6,21,0,0,1.000,,,3.02,0.41,P
234,Shawn Green,28,LAD,160,160,149,1414.2,331,317,8,6,1,.982,4,4,2.07,2.03,OF-1B
235,Ken Griffey Jr.,31,CIN,90,90,73,757.0,199,195,1,3,0,.985,-10,-16,2.33,2.18,OF
236,Jason Grilli,24,FLA,6,5,0,26.2,4,1,3,0,0,1.000,,,1.35,0.67,P
237,Marquis Grissom,34,LAD,123,101,98,938.0,233,227,6,0,2,1.000,-5,-7,2.24,1.89,OF
238,Mark Grudzielanek,31,LAD,133,131,121,1159.1,614,245,359,10,75,.984,-2,-2,4.69,4.54,2B
239,Vladimir Guerrero,26,MON,158,158,142,1368.1,346,320,14,12,5,.965,7,6,2.20,2.11,OF
