Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
73,Steven Brault,26,PIT,45,5,0,91.2,23,7,16,0,2,1.000,,,6,13,0,2.26,0.51,P
74,Ryan Braun,34,MIL,106,97,60,825.1,235,223,9,3,8,.987,9,13,1,1,1,2.53,2.09,OF-1B
75,John Brebbia,28,STL,45,0,0,50.2,5,2,3,0,0,1.000,,,-1,-4,0,0.89,0.11,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
76,Colten Brewer,25,SDP,11,0,0,9.2,2,0,2,0,0,1.000,,,0,0,0,1.86,0.18,P
77,Austin Brice,26,CIN,33,0,0,37.1,9,5,4,0,0,1.000,,,0,0,0,2.17,0.27,P
78,Jeff Brigham,26,MIA,4,4,0,16.1,3,1,2,0,1,1.000,,,0,0,0,1.65,0.75,P
79,Lewis Brinson,24,MIA,106,100,91,889.1,281,270,2,9,0,.968,-8,-11,-2,-2,-2,2.75,2.57,OF
80,Sócrates Brito,25,ARI,15,9,7,84.0,20,20,0,0,0,1.000,-2,-21,1,14,0,2.14,1.33,OF
81,Rex Brothers,30,ATL,1,0,0,0.0,0,0,0,0,0,,,,0,,,,0.00,P
82,Keon Broxton,28,MIL,43,18,12,194.0,59,57,2,0,0,1.000,3,16,14,86,4,2.74,1.37,OF
83,Jay Bruce,31,NYM,83,82,68,719.0,283,267,13,3,14,.989,-8,-13,-7,-11,-1,3.50,3.29,OF-1B
84,Kris Bryant,26,CHC,100,98,78,889.0,279,105,160,14,12,.950,9,12,-1,-1,-4,2.68,2.26,3B-OF-1B
85,Clay Buchholz,33,ARI,16,16,1,98.1,13,2,9,2,1,.846,,,0,0,0,1.01,0.69,P
86,Walker Buehler,23,LAD,24,23,0,137.1,17,0,16,1,0,.941,,,2,3,0,1.05,0.67,P
87,Madison Bumgarner,28,SFG,21,21,0,129.2,16,3,13,0,0,1.000,,,-2,-3,0,1.11,0.76,P
88,Nick Burdi,25,PIT,2,0,0,1.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
89,Corbin Burnes,23,MIL,30,0,0,38.0,8,5,2,1,1,.875,,,0,0,0,1.66,0.23,P
90,Drew Butera,34,COL,10,5,1,44.0,56,51,5,0,2,1.000,0,5,0,0,0,11.45,5.60,C-1B
91,Eddie Butler,27,CHC,8,0,0,17.2,5,1,4,0,1,1.000,,,0,0,0,2.55,0.63,P
92,Asdrúbal Cabrera,32,TOT,132,128,97,1119.1,477,187,284,6,76,.987,-8,-8,-18,-19,0,3.79,3.25,2B-SS-3B
93,Lorenzo Cain,32,MIL,138,137,118,1180.0,321,304,11,6,3,.981,-3,-3,20,20,2,2.40,2.28,OF
94,Johan Camargo,24,ATL,130,122,112,1096.1,314,90,211,13,30,.959,3,4,4,4,-1,2.47,2.23,3B-SS-2B
95,Víctor Caratini,24,CHC,58,40,29,386.2,385,360,23,2,13,.995,2,5,2,6,1,8.91,6.18,C-1B-3B-P
96,Shane Carle,26,ATL,52,0,0,63.0,9,3,5,1,1,.889,,,-2,-6,0,1.14,0.15,P
97,Matt Carpenter,32,STL,150,147,89,1263.0,841,628,197,16,79,.981,-7,-6,-1,-1,-1,5.88,4.53,1B-3B-2B
98,Curt Casali,29,CIN,44,35,31,328.1,318,292,22,4,4,.987,-4,-15,-4,-15,-1,8.61,6.98,C-1B-2B
99,José Castillo,22,SDP,37,0,0,38.1,2,2,0,0,0,1.000,,,0,0,0,0.47,0.05,P
100,Luis Castillo,25,CIN,31,31,0,169.2,39,18,21,0,1,1.000,,,1,1,0,2.07,1.26,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
101,Daniel Castro,25,COL,17,13,8,113.0,50,18,32,0,7,1.000,2,16,0,0,0,3.98,2.94,2B-SS
102,Starlin Castro,28,MIA,150,149,137,1314.0,632,271,349,12,77,.981,-1,-1,-10,-9,1,4.25,4.13,2B
103,Brett Cecil,31,STL,40,0,0,32.2,7,1,5,1,0,.857,,,-2,-12,0,1.65,0.15,P
104,Xavier Cedeño,31,MIL,15,0,0,8.0,4,2,2,0,0,1.000,,,1,25,0,4.50,0.27,P
105,Francisco Cervelli,32,PIT,98,97,85,835.1,855,788,63,4,11,.995,-3,-4,-4,-6,-5,9.17,8.60,C-1B
106,Yoenis Céspedes,32,NYM,35,35,27,293.2,67,63,4,0,0,1.000,-3,-12,-1,-4,2,2.05,1.91,OF
107,Jhoulys Chacín,30,MIL,35,35,0,192.2,47,18,26,3,3,.936,,,1,1,-1,2.06,1.26,P
108,Andrew Chafin,28,ARI,77,0,0,49.1,14,6,8,0,2,1.000,,,0,0,0,2.55,0.18,P
109,JT Chargois,27,LAD,39,0,0,32.1,6,2,4,0,0,1.000,,,-1,-6,0,1.67,0.15,P
110,Tyler Chatwood,28,CHC,24,20,0,103.2,29,12,15,2,3,.931,,,1,2,0,2.34,1.13,P
111,Jesse Chavez,34,CHC,32,0,0,39.0,5,2,3,0,0,1.000,,,1,5,0,1.15,0.16,P
112,Wei-Yin Chen,32,MIA,26,26,0,133.1,15,4,11,0,2,1.000,,,0,0,0,1.01,0.58,P
