Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
72,Mike Cameron,30,SEA,147,145,140,1284.0,492,485,3,4,2,.992,17,16,22,20,,3.42,3.32,OF
73,Giovanni Carrara,35,SEA,23,0,0,29.0,8,4,4,0,1,1.000,,,0,0,,2.48,0.35,P
74,D.J. Carrasco,26,KCR,50,2,0,80.1,14,4,9,1,1,.929,,,1,2,,1.46,0.26,P
75,Héctor Carrasco,33,BAL,40,0,0,38.1,9,5,4,0,0,1.000,,,-1,-5,,2.11,0.23,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
76,Lance Carter,28,TBD,62,0,0,79.0,9,4,5,0,0,1.000,,,-1,-3,,1.03,0.15,P
77,Kevin Cash,25,TOR,34,31,29,278.0,193,179,13,1,0,.995,0,0,-1,-6,,6.22,5.65,C
78,Frank Catalanotto,29,TOR,105,97,67,823.1,176,166,7,3,3,.983,-5,-7,-12,-17,,1.89,1.65,OF-1B
79,Eric Chavez,25,OAK,154,153,143,1333.1,482,125,343,14,33,.971,12,11,7,6,,3.16,3.04,3B
80,Bruce Chen,26,BOS,5,2,0,12.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
81,Randy Choate,27,NYY,5,0,0,3.2,1,0,1,0,0,1.000,,,1,55,,2.45,0.20,P
82,Ryan Christenson,29,TEX,59,46,41,424.0,134,134,0,0,0,1.000,-3,-9,8,22,,2.84,2.27,OF
83,Vinnie Chulk,24,TOR,3,0,0,5.1,3,0,3,0,0,1.000,,,1,38,,5.06,1.00,P
84,Jeff Cirillo,33,SEA,86,76,68,674.2,179,67,108,4,8,.978,-5,-9,-8,-14,,2.33,2.03,3B-1B
85,Howie Clark,29,TOR,23,16,7,138.1,49,14,33,2,6,.959,0,-3,3,26,,3.06,1.96,3B-OF-2B-1B-SS
86,Jermaine Clark,26,TEX,21,13,7,128.2,42,34,8,0,2,1.000,2,15,1,9,,2.94,1.75,OF-2B
87,Brandon Claussen,24,NYY,1,1,0,6.1,1,0,1,0,0,1.000,,,1,32,,1.42,1.00,P
88,Roger Clemens,40,NYY,33,33,1,211.2,40,7,32,1,2,.975,,,2,2,,1.66,1.18,P
89,Greg Colbrunn,33,SEA,14,13,4,92.0,89,83,5,1,5,.989,2,23,0,0,,8.61,6.29,1B
90,Lou Collier,29,BOS,4,0,0,6.2,2,1,1,0,0,1.000,0,0,1,180,,2.70,0.50,OF-3B
91,Jesús Colomé,25,TBD,53,0,0,74.0,17,6,10,1,0,.941,,,0,0,,1.95,0.30,P
92,Bartolo Colón,30,CHW,34,34,9,242.0,32,12,17,3,3,.906,,,0,0,,1.08,0.85,P
93,Jeff Conine,37,BAL,124,124,117,1095.2,1161,1068,84,9,106,.992,6,7,-6,-6,,9.46,9.07,1B-OF-3B
94,José Contreras,31,NYY,18,9,0,71.0,11,1,9,1,1,.909,,,-2,-6,,1.27,0.56,P
95,Francisco Cordero,28,TEX,73,0,0,82.2,19,8,10,1,0,.947,,,3,7,,1.96,0.25,P
96,Marty Cordova,33,BAL,4,4,2,35.0,9,7,2,0,0,1.000,1,38,-2,-68,,2.31,2.25,OF
97,Nate Cornejo,23,DET,32,32,2,194.2,51,15,34,2,4,.961,,,-1,-1,,2.27,1.53,P
98,David Cortés,29,CLE,2,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
99,Neal Cotts,23,CHW,4,4,0,13.1,2,1,1,0,1,1.000,,,0,0,,1.35,0.50,P
