Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0."
"Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 8-9-1"
b3,0-0,0,---,"8,(3-2) BBCFFFBX",O,BOS,Sandy Leon,Dylan Bundy,3%,47%,Groundout: SS-1B (SS-2B)
b3,0-0,1,---,"5,(1-2) CSBFS",O,BOS,Marco Hernandez,Dylan Bundy,2%,49%,Strikeout Swinging
b3,0-0,2,---,"4,(1-2) SSBX",,BOS,Xander Bogaerts,Dylan Bundy,-2%,46%,Double to LF (Line Drive to Deep LF-CF)
b3,0-0,2,-2-,"2,(0-1) FX",O,BOS,Andrew Benintendi,Dylan Bundy,4%,50%,Groundout: 1B unassisted
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0."
"Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 2-3-4"
t4,0-0,0,---,"4,(2-1) SBBX",O,BAL,Adam Jones,Rick Porcello,-3%,47%,Popfly: 2B (Short CF-RF)
t4,0-0,1,---,"3,(2-0) BBX",O,BAL,Manny Machado,Rick Porcello,-2%,45%,Groundout: 3B-1B (SS-3B Hole)
t4,0-0,2,---,"3,(1-1) BSX",,BAL,Mark Trumbo,Rick Porcello,3%,48%,Double to LF (Line Drive to Short LF Line)
t4,0-0,2,-2-,"5,(2-2) CBBSC",O,BAL,Chris Davis,Rick Porcello,-4%,44%,Strikeout Looking
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0."
"Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 3-4-5"
b4,0-0,0,---,"3,(2-0) BBX",O,BOS,Mookie Betts,Dylan Bundy,3%,47%,Groundout: SS-1B
b4,0-0,1,---,"4,(3-0) BBBB",,BOS,Hanley Ramirez,Dylan Bundy,-3%,44%,Walk
b4,0-0,1,1--,"2,(1-0) BX",OO,BOS,Mitch Moreland,Dylan Bundy,6%,50%,Ground Ball Double Play: 2B-SS-1B (2B-1B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0."
"Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8","Top of the 5th, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 6-7-8"
t5,0-0,0,---,"6,(2-2) BBCFFX",,BAL,Jonathan Schoop,Rick Porcello,5%,55%,Single to LF (Ground Ball thru SS-3B Hole)
t5,0-0,0,1--,"5,(0-2) CCFFC",O,BAL,J.J. Hardy,Rick Porcello,-4%,50%,Strikeout Looking
t5,0-0,1,1--,"6,(3-2) BSB1FBX",O,BAL,Ryan Flaherty,Rick Porcello,-4%,46%,Flyball: LF (LF Line)
t5,0-0,2,1--,"6,(2-2) FFF*BBX",R,BAL,Caleb Joseph,Rick Porcello,15%,61%,Double to CF (Line Drive to Deep LF-CF); Schoop Scores
t5,1-0,2,-2-,"4,(1-2) *BCCX",O,BAL,Seth Smith,Rick Porcello,-4%,57%,Groundout: SS-1B (2B-1B)
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Orioles 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Orioles 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Orioles 1, Red Sox 0."
"Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8","Bottom of the 5th, Red Sox Batting, Behind 0-1, Orioles' Dylan Bundy facing 6-7-8"
b5,0-1,0,---,"4,(1-2) BCFX",O,BOS,Dustin Pedroia,Dylan Bundy,4%,61%,Flyball: CF
b5,0-1,1,---,"5,(3-1) FBBBB",,BOS,Jackie Bradley Jr.,Dylan Bundy,-4%,57%,Walk
b5,0-1,1,1--,"1,(0-0) X",,BOS,Sandy Leon,Dylan Bundy,-5%,52%,Single to 3B (Bunt to Weak 3B); Bradley to 2B
b5,0-1,1,12-,"1,(0-0) X",O,BOS,Marco Hernandez,Dylan Bundy,7%,59%,Flyball: LF (Deep LF-CF)
b5,0-1,2,12-,"2,(0-1) FX",O,BOS,Xander Bogaerts,Dylan Bundy,7%,65%,Groundout: 3B-2B/Forceout at 2B (SS-3B Hole)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 2 LOB. Orioles 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 2 LOB. Orioles 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 2 LOB. Orioles 1, Red Sox 0."
