Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
,,,,,,,,,"0 runs, 2 hits, 0 errors, 1 LOB. Phillies 1, Red Sox 0.","0 runs, 2 hits, 0 errors, 1 LOB. Phillies 1, Red Sox 0.","0 runs, 2 hits, 0 errors, 1 LOB. Phillies 1, Red Sox 0."
"Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 7-8-9"
b3,0-1,0,---,"4,(1-2) CBSX",O,BOS,Eduardo Nunez,Aaron Nola,-3%,41%,Groundout: 2B-1B
b3,0-1,1,---,"4,(1-2) CBFX",O,BOS,Brock Holt,Aaron Nola,-2%,39%,Lineout: CF (Deep LF-CF)
b3,0-1,2,---,"5,(2-2) CBFBX",,BOS,Sandy Leon,Aaron Nola,2%,41%,Single to 2B (Ground Ball)
b3,0-1,2,1--,"4,(1-2) CCBT",O,BOS,Mookie Betts,Aaron Nola,-3%,38%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Phillies 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Phillies 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Phillies 1, Red Sox 0."
"Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 4th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7"
t4,1-0,0,---,"1,(0-0) X",O,PHI,Asdrubal Cabrera,David Price,2%,40%,Groundout: SS-1B
t4,1-0,1,---,"3,(1-1) CBX",O,PHI,Maikel Franco,David Price,2%,42%,Groundout: P-1B
