Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3"
t3,0-1,1,---,"4,(1-2) SBFC",O,COL,Chris Iannetta,Chris Sale,-2%,35%,Strikeout Looking
t3,0-1,2,---,"7,(3-2) BCSBBFS",O,COL,Pat Valaika,Chris Sale,-1%,34%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 1."
"Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, Rockies' Kyle Freeland facing 2-3-4"
b3,1-0,0,---,"7,(1-2) SBCFFFC",O,BOS,Mookie Betts,Kyle Freeland,2%,36%,Strikeout Looking
b3,1-0,1,---,"2,(1-0) BX",R,BOS,J.D. Martinez,Kyle Freeland,-10%,26%,Home Run (Fly Ball to Deep LF-CF)
b3,2-0,1,---,"6,(3-2) CBBFBX",O,BOS,Xander Bogaerts,Kyle Freeland,1%,28%,Groundout: 3B-1B
b3,2-0,2,---,"1,(0-0) X",R,BOS,Rafael Devers,Kyle Freeland,-8%,20%,Home Run (Fly Ball to Deep LF)
b3,3-0,2,---,"4,(0-2) SCFS",O,BOS,Michael Chavis,Kyle Freeland,1%,20%,Strikeout Swinging
,,,,,,,,,"2 runs, 2 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 3.","2 runs, 2 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 3.","2 runs, 2 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 3."
"Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3","Top of the 4th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 1-2-3"
t4,0-3,0,---,"7,(2-2) CFFBBFX",O,COL,Charlie Blackmon,Chris Sale,-2%,18%,Groundout: 3B-1B (SS-3B Hole)
t4,0-3,1,---,"6,(2-2) CFFBBC",O,COL,Trevor Story,Chris Sale,-2%,16%,Strikeout Looking
t4,0-3,2,---,"3,(1-1) BFX",O,COL,Nolan Arenado,Chris Sale,-1%,15%,Foul Popfly: 3B (3B into Foul Terr.)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 3."
