home_moneyline,away_team_abbr,date,home_team_abbr,home_score,away_score
,SD,2012-03-12 16:10:00,COL,11.0,2.0
,HOU,2012-03-12 19:05:00,NYY,3.0,4.0
,ATL,2012-03-13 13:05:00,MIA,2.0,2.0
,PHI,2012-03-13 13:05:00,HOU,6.0,5.0
,TB,2012-03-13 13:05:00,BAL,7.0,7.0
,TOR,2012-03-13 13:05:00,MIN,2.0,8.0
,STL,2012-03-13 13:10:00,NYM,1.0,7.0
,CHW,2012-03-13 16:05:00,SD,6.0,3.0
,CHC,2012-03-13 16:05:00,SF,4.0,5.0
,CIN,2012-03-13 16:05:00,KC,7.0,5.0
,COL,2012-03-13 16:05:00,LAD,2.0,5.0
,MIL,2012-03-13 16:05:00,OAK,8.0,6.0
,SEA,2012-03-13 16:05:00,MIL,4.0,7.0
,TEX,2012-03-13 16:05:00,CLE,8.0,8.0
,LAA,2012-03-13 16:10:00,ARI,0.0,3.0
,DET,2012-03-13 18:05:00,WAS,3.0,6.0
,BOS,2012-03-13 19:05:00,NYY,0.0,1.0
,HOU,2012-03-14 13:05:00,STL,3.0,4.0
,MIA,2012-03-14 13:05:00,TB,2.0,4.0
,MIN,2012-03-14 13:05:00,PHI,4.0,6.0
,NYY,2012-03-14 13:05:00,TOR,7.0,5.0
,NYM,2012-03-14 13:05:00,DET,7.0,6.0
,PIT,2012-03-14 13:05:00,BAL,5.0,11.0
,LAA,2012-03-14 16:05:00,CHW,9.0,7.0
,CLE,2012-03-14 16:05:00,SF,2.0,2.0
,COL,2012-03-14 16:05:00,TEX,1.0,6.0
,MIL,2012-03-14 16:05:00,CHC,2.0,10.0
,SD,2012-03-14 16:05:00,CIN,4.0,9.0
,SD,2012-03-14 16:10:00,ARI,0.0,8.0
,WAS,2012-03-14 18:05:00,ATL,6.0,5.0
,KC,2012-03-14 22:05:00,SEA,6.0,2.0
,LAD,2012-03-14 22:05:00,CIN,1.0,9.0
,ARI,2012-03-14 22:10:00,COL,7.0,4.0
,BAL,2012-03-16 13:05:00,MIN,1.0,3.0
,MIA,2012-03-16 13:05:00,STL,5.0,0.0
,PHI,2012-03-16 13:05:00,PIT,3.0,2.0
,TB,2012-03-16 13:05:00,TOR,5.0,0.0
,WAS,2012-03-16 13:05:00,NYY,4.0,3.0
,DET,2012-03-16 13:10:00,NYM,0.0,9.0
,LAA,2012-03-16 16:05:00,SD,8.0,7.0
,CLE,2012-03-16 16:05:00,LAA,7.0,0.0
,MIL,2012-03-16 16:05:00,KC,9.0,4.0
,SF,2012-03-16 16:05:00,CHC,2.0,3.0
,TEX,2012-03-16 16:05:00,LAD,5.0,2.0
,SEA,2012-03-16 16:05:00,MIL,1.0,6.0
,CHW,2012-03-16 16:10:00,ARI,4.0,2.0
,HOU,2012-03-16 18:05:00,ATL,9.0,5.0
,MIN,2012-03-16 19:05:00,BOS,1.0,2.0
,COL,2012-03-16 22:05:00,CIN,4.0,3.0
,SEA,2012-03-16 22:05:00,OAK,6.0,1.0
,ATL,2012-03-15 13:05:00,PHI,6.0,4.0
,BAL,2012-03-15 13:05:00,DET,4.0,2.0
,NYY,2012-03-15 13:05:00,WAS,5.0,8.0
,NYM,2012-03-15 13:05:00,MIA,3.0,1.0
,PHI,2012-03-15 13:05:00,TB,6.0,6.0
,PIT,2012-03-15 13:05:00,MIN,6.0,17.0
,TOR,2012-03-15 13:05:00,HOU,3.0,6.0
,STL,2012-03-15 14:35:00,BOS,6.0,9.0
,ARI,2012-03-15 16:05:00,CHC,2.0,12.0
,CHW,2012-03-15 16:05:00,CLE,12.0,3.0
,CIN,2012-03-15 16:05:00,LAA,3.0,1.0
,KC,2012-03-15 16:05:00,LAD,5.0,8.0
,OAK,2012-03-15 16:05:00,TEX,7.0,11.0
,SD,2012-03-15 16:05:00,MIL,6.0,4.0
,CHC,2012-03-15 16:10:00,COL,7.0,5.0
,SF,2012-03-15 22:05:00,SEA,5.0,7.0
,BOS,2012-03-17 13:05:00,BAL,3.0,3.0
,HOU,2012-03-17 13:05:00,NYY,6.0,3.0
,MIA,2012-03-17 13:05:00,WAS,1.0,1.0
,MIN,2012-03-17 13:05:00,MIA,2.0,5.0
,STL,2012-03-17 13:05:00,DET,10.0,3.0
,TB,2012-03-17 13:05:00,PIT,1.0,2.0
,TOR,2012-03-17 13:05:00,ATL,5.0,3.0
,TOR,2012-03-17 13:05:00,PHI,4.0,3.0
,ATL,2012-03-17 13:10:00,NYM,2.0,3.0
,BAL,2012-03-17 13:35:00,BOS,7.0,4.0
,ARI,2012-03-17 16:05:00,TEX,6.0,8.0
,CHC,2012-03-17 16:05:00,OAK,4.0,3.0
,CIN,2012-03-17 16:05:00,CLE,2.0,9.0
,MIL,2012-03-17 16:05:00,LAA,8.0,1.0
,OAK,2012-03-17 16:05:00,SF,7.0,2.0
,SEA,2012-03-17 16:05:00,CHW,5.0,0.0
,TEX,2012-03-17 16:05:00,CHC,7.0,12.0
,LAD,2012-03-17 16:10:00,COL,8.0,6.0
,KC,2012-03-17 22:05:00,SD,8.0,5.0
,SF,2012-03-17 22:05:00,LAD,3.0,3.0
,DET,2012-03-19 13:05:00,PHI,4.0,3.0
,HOU,2012-03-19 13:05:00,MIA,4.0,7.0
,STL,2012-03-19 13:05:00,ATL,3.0,4.0
,MIN,2012-03-19 13:35:00,BOS,4.0,8.0
,ARI,2012-03-19 16:05:00,OAK,6.0,5.0
,CHC,2012-03-19 16:05:00,SEA,7.0,12.0
,CIN,2012-03-19 16:05:00,CHW,0.0,1.0
,LAD,2012-03-19 16:05:00,CLE,4.0,3.0
,MIL,2012-03-19 16:05:00,TEX,3.0,5.0
,LAA,2012-03-19 16:10:00,COL,4.0,3.0
,BAL,2012-03-18 13:05:00,ATL,2.0,2.0
,BOS,2012-03-18 13:05:00,TB,4.0,8.0
,DET,2012-03-18 13:05:00,WAS,7.0,11.0
,MIA,2012-03-18 13:05:00,STL,4.0,2.0
,NYM,2012-03-18 13:05:00,HOU,9.0,5.0
,PHI,2012-03-18 13:05:00,TOR,10.0,2.0
,PIT,2012-03-18 13:05:00,MIN,10.0,0.0
,LAA,2012-03-18 16:05:00,LAD,1.0,1.0
,ARI,2012-03-18 16:05:00,CIN,7.0,8.0
,CHW,2012-03-18 16:05:00,CHC,5.0,7.0
,CLE,2012-03-18 16:05:00,KC,6.0,4.0
,SD,2012-03-18 16:05:00,SF,1.0,5.0
,TEX,2012-03-18 16:05:00,CHC,3.0,2.0
,OAK,2012-03-18 16:10:00,ARI,2.0,11.0
,NYY,2012-03-18 19:05:00,BAL,6.0,3.0
,COL,2012-03-18 16:05:00,SEA,,
,TEX,2012-03-18 16:05:00,MIL,,
,COL,2012-03-18 16:05:00,SD,,
,ATL,2012-03-20 13:05:00,DET,7.0,2.0
,PHI,2012-03-20 13:05:00,BAL,1.0,4.0
,STL,2012-03-20 13:05:00,HOU,1.0,6.0
,TB,2012-03-20 13:05:00,MIA,2.0,3.0
,LAA,2012-03-20 16:05:00,KC,6.0,4.0
,CHC,2012-03-20 16:05:00,OAK,5.0,5.0
,MIL,2012-03-20 16:05:00,LAD,7.0,6.0
,SEA,2012-03-20 16:05:00,CIN,1.0,8.0
,TEX,2012-03-20 16:05:00,CHC,2.0,6.0
,SF,2012-03-20 16:10:00,ARI,4.0,3.0
,WAS,2012-03-20 18:10:00,NYM,2.0,0.0
,PIT,2012-03-20 19:05:00,NYY,10.0,3.0
,TOR,2012-03-20 19:05:00,BOS,2.0,9.0
,COL,2012-03-20 22:05:00,SD,10.0,6.0
,BAL,2012-03-22 13:05:00,MIN,1.0,11.0
,MIA,2012-03-22 13:05:00,ATL,5.0,5.0
,PHI,2012-03-22 13:05:00,TOR,2.0,0.0
,TB,2012-03-22 13:05:00,PIT,6.0,8.0
,WAS,2012-03-22 13:05:00,STL,9.0,0.0
,HOU,2012-03-22 13:10:00,NYM,8.0,2.0
