Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Chris Kissock","PHI","A,A-,A+,AA","22-27",388.2,0.31314741,1.29735683,0.15683104,0.47615198,0.36701698,0.18942731,0.06828194,0.45992218,0.23579767,0.30428016,0.23533698,550,2195,2745,"sa388401"
"Will Morgan","NYM","A-,A+,R","21-23",47,0.25,1.10416667,0.11403509,0.46491228,0.42105263,0.25,0.04166667,0.46153846,0.21367521,0.32478632,0.37654321,47,277,324,"sa388404"
"Matthew Fitts","OAK","A,A-","22-23",122.2,0.31632653,2.25742574,0.125,0.60638298,0.26861702,0.08910891,0.05940594,0.44472362,0.24623116,0.30904523,0.22148394,247,656,903,"sa388406"
"Brian Parker","BAL","A,A-,A+,AA,R","21-24",230.2,0.29160305,0.95087719,0.12578616,0.42610063,0.44811321,0.2245614,0.06666667,0.44328358,0.24029851,0.31641791,0.28635598,366,1415,1781,"sa388407"
"Taylor Cameron","PIT","A-","21-21",30,0.27777778,1.40625,0.11494253,0.51724138,0.36781609,0.25,0,0.54444444,0.18888889,0.26666667,0.19008264,96,146,242,"sa388815"
"Johnnie Lowe","CHW","A,A+,AA,AAA,R","22-29",711.1,0.30831099,1.59186536,0.16719243,0.51149166,0.32131591,0.18513324,0.085554,0.4745098,0.22745098,0.29803922,0.13056213,3089,5788,8877,"sa388816"
"Anthony Kirbis","BAL","A-,R","22-23",77,0.31764706,1.2967033,0.1399177,0.48559671,0.3744856,0.16483516,0.03296703,0.40551181,0.26377953,0.33070866,0.22030981,145,436,581,"sa388817"
"Gary Amato","PIT","A,A-,R","21-23",115.1,0.29041916,0.96402878,0.15479876,0.41486068,0.43034056,0.25179856,0.05035971,0.48967552,0.18879056,0.32153392,0.30769231,151,694,845,"sa388818"
"Drew O'Neil","CHW","A,A+,R","22-24",127.1,0.31853786,2.88311688,0.17174515,0.61495845,0.2132964,0.12987013,0.01298701,0.41099476,0.18324607,0.40575916,0.19927207,390,709,1099,"sa388819"
"Scott Gaffney","CIN","A,A+,R","21-25",142.1,0.3446712,1.44370861,0.15172414,0.50114943,0.34712644,0.17218543,0.0794702,0.47203579,0.2639821,0.2639821,0.25680934,420,865,1285,"sa388820"
"Craig Clark","SFG","A,A-,A+,AA","22-25",406.2,0.28908297,1.05793991,0.16171329,0.43094406,0.40734266,0.24248927,0.07939914,0.42627119,0.23559322,0.33813559,0.28339662,570,2327,2897,"sa388821"
"Devin Drag","WSN","A,A-","23-23",21.1,0.28571429,1,0.14666667,0.42666667,0.42666667,0.125,0.0625,0.45454545,0.25974026,0.28571429,0.12080537,47,102,149,"sa388823"
"Caleb Staudt","WSN","A-","22-22",37,0.18181818,0.7755102,0.10309278,0.39175258,0.50515464,0.30612245,0.06122449,0.48039216,0.23529412,0.28431373,0.26086957,91,185,276,"sa388824"
"Eddy Fernandez","SEA","A,A-,R","19-21",142.2,0.31234257,0.92857143,0.16,0.40444444,0.43555556,0.23469388,0.08163265,0.46058091,0.20746888,0.33195021,0.25581395,101,458,559,"sa388825"
"Kai Tuomi","WSN","A,R","21-22",28,0.42307692,1.2972973,0.17475728,0.46601942,0.3592233,0.18918919,0.05405405,0.46226415,0.31132075,0.22641509,0.27981651,38,180,218,"sa388826"
"Ben Norton","KCR","R","22-22",57,0.35227273,2,0.13017751,0.57988166,0.28994083,0.28571429,0.06122449,0.39325843,0.24157303,0.36516854,0.26726058,97,352,449,"sa388827"
"Nick Schmidt","SDP","A,A+,AA,AAA,R","21-28",528.1,0.32473254,1.04938272,0.15842839,0.43092522,0.41064639,0.22376543,0.06635802,0.44444444,0.2320442,0.32351136,0.13587549,2169,4256,6425,"sa388834"
"Christopher Rhoads","PHI","A,A-,R","21-21",44,0.26446281,1.58536585,0.1092437,0.54621849,0.34453782,0.17073171,0.09756098,0.52,0.288,0.192,0.29476584,66,297,363,"sa388837"
"Craig Muschko","CHC","A,A+,AA,R","21-24",351,0.30410448,1.11214953,0.14312796,0.45118483,0.4056872,0.22196262,0.07009346,0.4359673,0.23796549,0.32606721,0.19315476,852,2508,3360,"sa388841"
"Gerard Breslin","PHI","R","22-22",10.1,0.5,1.54545455,0.22222222,0.47222222,0.30555556,0.27272727,0.18181818,0.41666667,0.41666667,0.16666667,0.34375,21,75,96,"sa388842"
"Dylan Gonzalez","STL","A,R","22-23",62.2,0.36842105,1.56896552,0.20744681,0.48404255,0.30851064,0.13793103,0.13793103,0.48469388,0.26020408,0.25510204,0.27959184,108,382,490,"sa388844"
"Adam Olbrychowski","NYY","A,A-,A+,AA","20-25",494.2,0.31308411,1.085,0.15870881,0.43779422,0.40349697,0.18166667,0.06333333,0.43628088,0.23862159,0.32509753,0.22794118,1251,2829,4080,"sa388851"
"Austin Garrett","WSN","A,A-","21-23",98.1,0.31690141,1.41237113,0.16725979,0.48754448,0.34519573,0.25773196,0.07216495,0.39726027,0.28424658,0.31849315,0.23020706,259,562,821,"sa388928"
"Rigoberto Lugo","STL","A-,R","18-19",40,0.31932773,0.76785714,0.16806723,0.36134454,0.47058824,0.26785714,0.08928571,0.46341463,0.20325203,0.33333333,0.22365039,150,239,389,"sa388929"
"Davis Bilardello","STL","A-,A+","22-23",72.2,0.34412955,2.08064516,0.18376068,0.55128205,0.26495726,0.12903226,0.0483871,0.412,0.252,0.336,0.20566038,139,391,530,"sa388940"
"Casey Baron","MIL","A,A+,AA,R","22-25",164.1,0.32251521,1.19459459,0.16115702,0.45661157,0.3822314,0.21081081,0.06486486,0.444,0.256,0.3,0.1770073,451,1193,1644,"sa388948"
"Ryan Moorer","SEA","A,A-,A+","21-24",195,0.32671756,1.65550239,0.12598425,0.54488189,0.32913386,0.1722488,0.04784689,0.45166163,0.21752266,0.33081571,0.19644079,425,1036,1461,"sa388949"
"Brandon McKerney","SEA","A-","20-20",34.1,0.30833333,3.89473684,0.15454545,0.67272727,0.17272727,0.10526316,0.10526316,0.43103448,0.14655172,0.42241379,0.22709163,62,189,251,"sa388954"
"Harrison Bishop","PIT","A,A-,A+","22-24",166,0.28634361,1.03243243,0.14739229,0.43310658,0.41950113,0.24864865,0.04324324,0.5,0.2139738,0.2860262,0.31177446,250,956,1206,"sa388955"
"Curtis Pasma","MIL","A,R","21-22",93.1,0.32824427,0.94067797,0.13257576,0.42045455,0.4469697,0.16949153,0.09322034,0.47761194,0.2238806,0.29850746,0.34055728,83,563,646,"sa388956"
"Jacob Wild","SEA","A,A+,AA,R","22-25",397.1,0.33934708,1.04294479,0.14395887,0.43701799,0.41902314,0.20449898,0.08384458,0.41313383,0.25436409,0.33250208,0.26121635,623,2386,3009,"sa388957"
"Adam Arnold","MIL","R","21-22",39.2,0.31531532,1,0.15384615,0.42307692,0.42307692,0.27272727,0.06818182,0.4375,0.22321429,0.33928571,0.23387097,133,239,372,"sa388961"
"Bryan Collins","OAK","A-","22-22",27.1,0.34939759,3.78571429,0.14102564,0.67948718,0.17948718,0.28571429,0.07142857,0.3452381,0.17857143,0.47619048,0.21929825,68,160,228,"sa388963"
"John Quine","OAK","A-","23-23",22.1,0.24285714,1.625,0.08695652,0.56521739,0.34782609,0.25,0,0.48571429,0.22857143,0.28571429,0.20833333,103,185,288,"sa388964"
"Daniel Morales","CLE","A-","22-23",50.1,0.28467153,0.93333333,0.14074074,0.41481481,0.44444444,0.23333333,0.05,0.4964539,0.30496454,0.19858156,0.28533333,93,282,375,"sa388966"
"Luke Sommer","CHC","A-,A+,AA,AAA,R","23-26",188.2,0.32550336,1.35148515,0.17391304,0.47478261,0.35130435,0.13366337,0.05940594,0.39538715,0.27347611,0.33113674,0.20297313,406,1343,1749,"sa388967"
"Matthew Foust","PIT","A,A-,R","22-23",89.2,0.30136986,2.46153846,0.17279412,0.58823529,0.23897059,0.2,0,0.45890411,0.21232877,0.32876712,0.15938303,287,491,778,"sa388970"
"Andrew Bowman","CIN","A,A+,AA,R","21-25",307.1,0.34056399,1.53289474,0.14158305,0.51950948,0.33890747,0.19736842,0.04934211,0.39636752,0.23504274,0.36858974,0.23703433,886,1852,2738,"sa388971"
"Luke Wertz","PHI","A,A-","21-24",115.1,0.24767802,1.4952381,0.15755627,0.50482315,0.33762058,0.22857143,0.02857143,0.36503067,0.21779141,0.41717791,0.27541828,145,632,777,"sa388972"
"Charles Shirek","CHW","A,A+,AA,AAA","21-30",623,0.29960707,1.82601351,0.17464233,0.53330044,0.29205723,0.16722973,0.0777027,0.41086016,0.23065834,0.3584815,0.10760157,2356,5274,7630,"sa388975"
"Sean Giblin","PIT","R","18-18",16.2,0.40277778,0.73529412,0.18055556,0.34722222,0.47222222,0.08823529,0.05882353,0.44594595,0.28378378,0.27027027,0.19491525,14,104,118,"sa388976"
"Brian Tracy","PIT","A-","23-23",22.2,0.2972973,1.54166667,0.16438356,0.50684932,0.32876712,0.33333333,0.16666667,0.58227848,0.18987342,0.2278481,0.17318436,59,120,179,"sa388985"
"Justin Friend","OAK","A,A-,A+,AA,AAA","21-28",406.2,0.31233123,1.78018576,0.17158672,0.5304428,0.29797048,0.14551084,0.07430341,0.46072374,0.23124448,0.30803177,0.17641268,1803,3276,5079,"sa388993"
"Oliver Odle","SFG","A,A-,A+,AAA,R","21-24",438,0.33706294,1.77777778,0.15730337,0.53932584,0.30337079,0.19212963,0.1087963,0.44276902,0.22001371,0.33721727,0.25772098,326,2491,2817,"sa388994"
"Jason Dominguez","HOU","A-,A+","21-23",119.1,0.26216216,1.48031496,0.11764706,0.52661064,0.3557423,0.20472441,0.03937008,0.42091153,0.25737265,0.32171582,0.23660131,154,611,765,"sa388995"
"David Miller","HOU","A-","22-24",92.2,0.32258065,1.94318182,0.13666667,0.57,0.29333333,0.17045455,0.05681818,0.44126984,0.21904762,0.33968254,0.1964512,252,537,789,"sa388996"
"Robert Leonhardt","HOU","A,A-","22-23",167,0.36057692,1.77325581,0.20100503,0.51088777,0.2881072,0.13372093,0.08139535,0.43014129,0.25588697,0.31397174,0.15798319,272,918,1190,"sa388997"
"Brian Wabick","HOU","A,A-,A+,AA,R","19-22",242,0.31895425,1.25539568,0.16511318,0.46471372,0.3701731,0.17985612,0.08273381,0.48852041,0.23979592,0.27168367,0.24116095,397,1498,1895,"sa389000"
"Jordan Powell","HOU","A,A-,A+,R","22-24",199.1,0.34393939,1.80310881,0.16383308,0.53786708,0.29829985,0.1865285,0.07253886,0.45037037,0.24740741,0.30222222,0.23809524,326,1123,1449,"sa389001"
"Sean Morgan","ARI","A,A-","21-23",120,0.31123919,1.34146341,0.15542522,0.48387097,0.36070381,0.19512195,0.08943089,0.44692737,0.24301676,0.31005587,0.27106599,301,684,985,"sa389171"
"Daniel Latham","MIN","R","22-22",25.2,0.32876712,0.64102564,0.12328767,0.34246575,0.53424658,0.23076923,0.05128205,0.48,0.24,0.28,0.36,15,160,175,"sa389173"
"Kenneth Durst","COL","A-,A+,R","21-24",367,0.3182207,0.95634921,0.15942029,0.41091219,0.42966752,0.17857143,0.07738095,0.4263245,0.25496689,0.31870861,0.21582734,611,2030,2641,"sa389177"
"Levi Maxwell","CHW","A,A+,R","22-24",272,0.28396573,1.17142857,0.1627907,0.45165239,0.38555692,0.21269841,0.08253968,0.46555819,0.22565321,0.3087886,0.22536688,440,1468,1908,"sa389178"
"Kyle Landis","CLE","A,A-,A+,AA,AAA","21-27",316,0.30687204,0.87967914,0.15707434,0.39448441,0.44844125,0.2459893,0.07486631,0.42050691,0.23271889,0.34677419,0.22066948,772,2305,3077,"sa389180"
"Garrett Rieck","CLE","A,A-","21-22",64,0.32795699,1.17391304,0.16201117,0.45251397,0.38547486,0.13043478,0.02898551,0.4893617,0.21808511,0.29255319,0.32061069,68,456,524,"sa389181"
"Billy Spottiswood","ARI","A,A-,A+,AA,AAA","22-26",319.2,0.30283912,1.40828402,0.12284483,0.51293103,0.36422414,0.20414201,0.07100592,0.44478844,0.24767802,0.30753354,0.18550635,947,2282,3229,"sa389182"
"Bobby Wilkins","TEX","A,A-,A+,R","17-22",121.2,0.29057592,1.08496732,0.13315217,0.45108696,0.41576087,0.22222222,0.03921569,0.45854922,0.20466321,0.33678756,0.22727273,201,679,880,"sa389183"
"Ryan Tatusko","TEX","A,A-,A+,AA,AAA","22-29",811,0.30388548,1.62046632,0.16335815,0.51736973,0.31927213,0.21243523,0.05829016,0.45804898,0.22601365,0.31593737,0.13267935,3568,6524,10092,"sa389188"
"Ryan Falcon","TEX","A-,A+,AA","22-25",188.2,0.2962963,0.52464789,0.1374502,0.29681275,0.56573705,0.23591549,0.05633803,0.38857143,0.24380952,0.36761905,0.31782391,230,1167,1397,"sa389191"
"Lee Land","OAK","A-","22-22",12.1,0.18421053,1.90909091,0.05882353,0.61764706,0.32352941,0.09090909,0,0.47222222,0.16666667,0.36111111,0.14457831,26,57,83,"sa389192"
"Brian Letko","TOR","A,A-,R","22-23",113,0.28994083,1.46086957,0.12383901,0.52012384,0.35603715,0.2,0.06086957,0.49855072,0.20869565,0.29275362,0.28410513,154,645,799,"sa389204"
"Steven Otterness","CIN","A,A+,AA,R","22-24",156.1,0.2750533,1.28143713,0.17173913,0.46521739,0.36304348,0.19760479,0.07784431,0.47280335,0.25313808,0.27405858,0.22870662,390,878,1268,"sa389205"
"Frank Gailey","TOR","A,A-,A+,AA,AAA,R","21-28",477.1,0.29215976,1.35021097,0.15606061,0.48484848,0.35909091,0.21097046,0.0464135,0.45069394,0.25200877,0.2972973,0.21300497,1232,3397,4629,"sa389206"
"James Dougher","TOR","A,A-,R","21-22",100.2,0.27898551,1.14545455,0.13235294,0.46323529,0.40441176,0.21818182,0.06363636,0.41549296,0.24647887,0.33802817,0.32267884,86,571,657,"sa389207"
"Jason Monti","TOR","A-,R","22-23",75.1,0.33617021,1.56962025,0.12121212,0.53679654,0.34199134,0.17721519,0.02531646,0.40506329,0.29535865,0.29957806,0.29622266,63,440,503,"sa389208"
"Ross Buckwalter","TOR","A,A+,R","22-25",117,0.28609626,1.4796748,0.16666667,0.49726776,0.33606557,0.17073171,0.02439024,0.3994709,0.26984127,0.33068783,0.22454672,120,597,717,"sa389209"
"Andres Santiago","LAD","A,A+,AA,AAA,R","17-29",903.1,0.31419166,1.48574686,0.19289152,0.48241392,0.32469456,0.17445838,0.08437856,0.46429853,0.24434876,0.29135271,0.13854884,4489,7846,12335,"sa389212"
"Scott Moviel","NYM","A,A+,R","19-23",473.2,0.33738796,1.37793852,0.13883432,0.49901768,0.362148,0.1482821,0.039783,0.41872233,0.24794434,0.33333333,0.22859614,837,2632,3469,"sa389214"
"Mike Antonini","NYM","A,A-,A+,AA,AAA,R","21-33",765,0.30287648,0.78826764,0.17783397,0.36241045,0.45975558,0.21998167,0.0852429,0.42763962,0.27680391,0.29555646,0.15531689,2585,5888,8473,"sa389223"
"Andy Reichard","SFG","A,A-,A+,AA,R","22-27",395,0.29783694,1.2,0.17085427,0.45226131,0.37688442,0.16444444,0.07111111,0.46390916,0.2351987,0.30089213,0.22137405,677,2336,3013,"sa389224"
"Dylan Owen","NYM","A-,A+,AA,AAA","20-26",710.1,0.30258303,0.94787234,0.1573861,0.41003221,0.43258168,0.17765957,0.08404255,0.41123996,0.26226583,0.3264942,0.14456565,2358,5251,7609,"sa389225"
"Brad Burns","NYM","A,A+,R","21-23",84.1,0.31102362,1.6025641,0.15767635,0.5186722,0.32365145,0.17948718,0.06410256,0.44747082,0.22178988,0.3307393,0.23943662,192,518,710,"sa389229"
"Heath Taylor","CLE","A-,A+,R","21-23",111.1,0.30573248,1.66,0.1192053,0.54966887,0.33112583,0.18,0.04,0.41955836,0.21135647,0.36908517,0.31010453,226,635,861,"sa389232"
"Nolan Gallagher","SEA","A,A-,R","21-24",135.2,0.29078014,1.23952096,0.11374408,0.49052133,0.3957346,0.20359281,0.08383234,0.46910755,0.23798627,0.29290618,0.20204082,247,733,980,"sa389237"
"Chance Chapman","PHI","A,A-,A+,AA,AAA,R","23-27",393.1,0.30200174,1.2,0.16068223,0.45780969,0.38150808,0.19529412,0.04470588,0.43948498,0.22746781,0.33304721,0.24626381,690,2388,3078,"sa389241"
"Erik Crichton","DET","A,A-,A+,AA","22-25",160.1,0.32061069,1.10526316,0.140625,0.45117188,0.40820313,0.18660287,0.06220096,0.42990654,0.23925234,0.33084112,0.2390925,271,875,1146,"sa389244"
"Jason LaVorgna","NYM","A,R","21-22",53,0.36111111,0.90666667,0.1734104,0.39306358,0.43352601,0.24,0.06666667,0.40437158,0.19672131,0.3989071,0.25,114,330,444,"sa389245"
"Bobby Paschal","COL","A-,R","23-24",50,0.36986301,1.19642857,0.14583333,0.46527778,0.38888889,0.17857143,0.05357143,0.46,0.26666667,0.27333333,0.22637795,209,299,508,"sa389246"
"Joseph Rocchio","PHI","A,A-,A+,R","22-24",92,0.25830258,2.36764706,0.12260536,0.61685824,0.2605364,0.13235294,0.07352941,0.50545455,0.15636364,0.33818182,0.25431034,200,496,696,"sa389247"
"Daniel Buller","BOS","A,A-,R","22-23",43.2,0.37762238,1.18965517,0.09285714,0.49285714,0.41428571,0.18965517,0.03448276,0.43055556,0.25694444,0.3125,0.22969188,96,261,357,"sa389252"
"Tony Bajoczky","BOS","A-,A+,AA,R","22-23",165.2,0.33931777,1.24545455,0.10830325,0.49458484,0.39711191,0.21363636,0.06818182,0.49477352,0.22996516,0.27526132,0.21743487,103,895,998,"sa389253"
"Nicholas Chigges","NYY","A,A-","22-23",60.2,0.26751592,1.52830189,0.13548387,0.52258065,0.34193548,0.32075472,0.09433962,0.48447205,0.2173913,0.29813665,0.32371134,112,373,485,"sa389262"
"Michael Bunton","CHC","A-,R","21-22",64.2,0.33333333,2.44230769,0.14354067,0.6076555,0.24880383,0.13461538,0.07692308,0.42727273,0.20454545,0.36818182,0.18436874,152,347,499,"sa389263"
"Zack Sterner","PHI","A,A+,R","21-24",121.2,0.27520436,1.8317757,0.12173913,0.56811594,0.31014493,0.1682243,0.02803738,0.42779292,0.26702997,0.30517711,0.25831486,227,675,902,"sa389265"
"Eryk McConnell","PHI","A,A-,R","22-23",65.1,0.32258065,1.92592593,0.15957447,0.55319149,0.28723404,0.09259259,0.11111111,0.4611399,0.24352332,0.29533679,0.32175926,52,380,432,"sa389268"
"Chad Kerfoot","OAK","A,A-,A+","22-24",128.1,0.31830239,0.89634146,0.13370474,0.40947075,0.45682451,0.21341463,0.06097561,0.44818653,0.23316062,0.31865285,0.31874299,141,750,891,"sa389276"
"Nolan Mulligan","PHI","R","22-22",28.1,0.34615385,0.5952381,0.15189873,0.3164557,0.53164557,0.23809524,0.02380952,0.39240506,0.26582278,0.34177215,0.27669903,44,162,206,"sa389278"
"Richard Austin","PHI","A-,A+,R","22-23",35.1,0.28448276,0.53448276,0.18348624,0.28440367,0.53211009,0.18965517,0.0862069,0.52586207,0.22413793,0.25,0.22807018,83,202,285,"sa389280"
"Thomas Eager","STL","A,A-,A+,AA","21-24",312.2,0.30188679,1.72348485,0.18015964,0.51881414,0.30102623,0.16666667,0.06818182,0.40849673,0.2211329,0.37037037,0.18379763,1069,2054,3123,"sa389285"
"Deryk Hooker","STL","A,A-,A+,AA,AAA,R","18-25",514,0.31878032,1.34730539,0.16831683,0.47736917,0.354314,0.20159681,0.06387226,0.43041412,0.23014257,0.33944331,0.17274569,1853,4069,5922,"sa389288"
"Joshua Dew","STL","A-,A+,AA,AAA","22-27",128.2,0.33235294,2,0.16513761,0.55657492,0.27828746,0.17582418,0.06593407,0.46764706,0.23235294,0.3,0.1972873,535,1087,1622,"sa389290"
"Clegg Snipes","KCR","R","22-22",63.2,0.36082474,1.58064516,0.15343915,0.51851852,0.32804233,0.16129032,0.09677419,0.38,0.265,0.355,0.23142251,99,372,471,"sa389293"
"Andrew Laughter","TEX","A-,A+,AA,R","22-25",149.2,0.31893004,1.82269504,0.15677966,0.54449153,0.29872881,0.19148936,0.04255319,0.43442623,0.21721311,0.34836066,0.13436006,641,1242,1883,"sa389307"
"Bryan Paukovits","KCR","A,A+,AA,R","20-25",347.1,0.32478632,0.93693694,0.16423712,0.404276,0.43148688,0.21846847,0.05405405,0.43361188,0.25998143,0.30640669,0.24642393,816,2260,3076,"sa389310"
"Joe Augustine","KCR","A,R","22-23",150.2,0.26637555,0.94897959,0.14541387,0.41610738,0.43847875,0.28061224,0.07653061,0.43589744,0.23717949,0.32692308,0.24683544,199,907,1106,"sa389363"
"Ryan Belanger","KCR","R","22-22",21.1,0.35,1.23809524,0.16071429,0.46428571,0.375,0.14285714,0.0952381,0.41935484,0.32258065,0.25806452,0.29479769,39,134,173,"sa389365"
"Jordan Hotchkiss","CIN","A,A+,AA,R","21-25",280.1,0.27654321,1.03892216,0.14447236,0.43592965,0.41959799,0.18862275,0.05688623,0.40704739,0.2563791,0.33657351,0.22383326,537,1670,2207,"sa389369"
"Jeremy Vinyard","CIN","R","18-19",21.1,0.38356164,0.84848485,0.15277778,0.38888889,0.45833333,0.21212121,0.09090909,0.42307692,0.29487179,0.28205128,0.21078431,71,133,204,"sa389370"
"Tony Bradley","KCR","A,A+,AAA,R","21-22",102.1,0.25806452,1.81818182,0.15234375,0.546875,0.30078125,0.20779221,0.05194805,0.4519573,0.21352313,0.33451957,0.25060533,213,613,826,"sa389384"
"Justin Phillabaum","WSN","A,A+,R","21-25",189.2,0.34241908,1.1277533,0.15411559,0.44833625,0.39754816,0.21145374,0.0660793,0.41402337,0.24540902,0.34056761,0.24198823,408,1121,1529,"sa389393"
"Pat Cassa","KCR","R","21-21",27,0.28169014,1.26086957,0.23529412,0.42647059,0.33823529,0.26086957,0.13043478,0.35211268,0.23943662,0.4084507,0.355,38,162,200,"sa389394"
"James Simmons","OAK","A+,AA,AAA,R","20-28",672.1,0.32,0.80997877,0.19990615,0.35804786,0.44204599,0.1910828,0.06687898,0.40996344,0.26553931,0.32449726,0.10136957,3002,6271,9273,"sa389395"
"Adam Reifer","STL","A-,A+,AA,AAA","22-29",349.1,0.27679501,0.93446602,0.16805846,0.40187891,0.43006263,0.22330097,0.07524272,0.39249493,0.24239351,0.36511156,0.14755753,1711,3243,4954,"sa389398"
"Chris Denton","KCR","R","23-23",39,0.3,0.68333333,0.17213115,0.33606557,0.49180328,0.18333333,0.1,0.448,0.248,0.304,0.26428571,64,216,280,"sa389400"
"Michael Tarsi","MIN","A,A+,AA,AAA,R","20-25",448.1,0.33666905,1.96866841,0.16026588,0.55686854,0.28286558,0.17232376,0.06788512,0.50877193,0.23017544,0.26105263,0.27939103,829,2718,3547,"sa389404"
"Brian Gausman","KCR","R","23-23",53.2,0.31791908,1.1969697,0.13173653,0.47305389,0.39520958,0.16666667,0.04545455,0.39772727,0.27272727,0.32954545,0.25730994,60,282,342,"sa389409"
"Ted Gjeldum","KCR","R","22-22",34.2,0.30927835,1.70967742,0.09677419,0.56989247,0.33333333,0.16129032,0.06451613,0.40816327,0.30612245,0.28571429,0.41025641,61,212,273,"sa389410"
"Joseph Hughes","KCR","R","22-22",42.2,0.35964912,2.1,0.16216216,0.56756757,0.27027027,0.26666667,0.03333333,0.40869565,0.28695652,0.30434783,0.35483871,77,264,341,"sa389411"
"Jimmy Rollins","KCR","R","24-24",15.2,0.31707317,0.68421053,0.2,0.325,0.475,0.21052632,0.10526316,0.4047619,0.0952381,0.5,0.35915493,37,105,142,"sa389412"
"John Leonard","KCR","R","23-23",65.1,0.35121951,1.56716418,0.12690355,0.53299492,0.34010152,0.17910448,0.05970149,0.47115385,0.24038462,0.28846154,0.25,118,382,500,"sa389413"
"Luke Pisker","WSN","A-","21-21",20.1,0.30232558,1,0.0952381,0.45238095,0.45238095,0.31578947,0.05263158,0.39534884,0.25581395,0.34883721,0.50617284,27,135,162,"sa389415"
"Gary Perinar","DET","A-,A+,R","21-23",40.1,0.34234234,1.44736842,0.18421053,0.48245614,0.33333333,0.18421053,0.07894737,0.4122807,0.24561404,0.34210526,0.25552826,171,236,407,"sa389417"
"Keith Renaud","SEA","A,A-,A+","21-22",171.2,0.29566855,1.02690583,0.14877589,0.43126177,0.41996234,0.21076233,0.08071749,0.39526412,0.25136612,0.35336976,0.18790497,480,909,1389,"sa389421"
"Ryan Zink","NYY","A,A-,A+","22-24",234.1,0.31724138,1.40540541,0.13110181,0.50767085,0.36122734,0.16216216,0.05791506,0.45405405,0.24324324,0.3027027,0.23550508,373,1300,1673,"sa389424"
"Zach Peterson","KCR","A,A+,R","22-24",211,0.29032258,1.04897959,0.15771812,0.43120805,0.41107383,0.19183673,0.08163265,0.40691928,0.26688633,0.3261944,0.26781857,215,1174,1389,"sa389425"
"Justin Phillips","KCR","R","22-22",47.2,0.32679739,1.44,0.15277778,0.5,0.34722222,0.26,0.04,0.48701299,0.20779221,0.30519481,0.30878187,78,275,353,"sa389426"
"Jason Roach","KCR","R","23-23",30.1,0.37974684,1.86363636,0.16,0.54666667,0.29333333,0.27272727,0.04545455,0.44871795,0.29487179,0.25641026,0.45909091,25,195,220,"sa389427"
"Josh Santerre","KCR","R","23-23",18.1,0.35555556,1.92307692,0.11627907,0.58139535,0.30232558,0.15384615,0,0.46666667,0.26666667,0.26666667,0.40540541,26,122,148,"sa389428"
"Ben Swaggerty","KCR","A,A+,AA,AAA,R","24-29",278.2,0.3510929,2.19565217,0.17762238,0.56503497,0.25734266,0.10869565,0.08695652,0.34759358,0.22994652,0.42245989,0.13973577,1423,2513,3936,"sa389431"
"Kevin Hammons","FLA","A-","22-22",22.1,0.23214286,1.18181818,0.12727273,0.47272727,0.4,0.22727273,0.04545455,0.40350877,0.22807018,0.36842105,0.22527473,75,107,182,"sa389432"
"Eric Van Slyke","KCR","R","23-23",21.2,0.28,1.16666667,0.11363636,0.47727273,0.40909091,0.11111111,0,0.40816327,0.28571429,0.30612245,0.42767296,22,137,159,"sa389433"
"Ryan Woods","KCR","R","22-22",28,0.24719101,3.41176471,0.10714286,0.69047619,0.20238095,0.23529412,0.05882353,0.33333333,0.26666667,0.4,0.32608696,37,239,276,"sa389435"
"Bobby Blevins","LAD","A,A+,AA,AAA,R","22-25",364.2,0.31175468,1.18609865,0.16092943,0.45524957,0.383821,0.20179372,0.07847534,0.43011647,0.24209651,0.32778702,0.23115759,555,2218,2773,"sa389436"
"Kevin Chavez","TBD","A-,A+,R","18-21",131.1,0.32235294,1.27878788,0.11529412,0.49647059,0.38823529,0.19393939,0.06666667,0.49770642,0.22706422,0.27522936,0.21862348,271,717,988,"sa389447"
"Kevin Brophy","TBD","R","22-22",15.2,0.25,3.3,0.04444444,0.73333333,0.22222222,0,0,0.4893617,0.23404255,0.27659574,0.10273973,73,73,146,"sa389653"
"Mike McCardell","MIN","A,A+,AA,R","22-25",490.2,0.29822064,0.77588872,0.18683652,0.35527247,0.45789101,0.22411128,0.08037094,0.4262069,0.27103448,0.30275862,0.28355167,599,2836,3435,"sa389657"
"Daniel Berlind","MIN","A,AA,AAA,R","19-24",316.1,0.33163784,0.91626794,0.1742268,0.39484536,0.43092784,0.25358852,0.05023923,0.43880597,0.25373134,0.30746269,0.24234503,751,1927,2678,"sa389658"
"Lance Sewell","OAK","A,A-,A+,AA","21-25",197,0.27840909,0.55673759,0.16539924,0.29847909,0.53612167,0.25886525,0.08156028,0.42286751,0.24500907,0.33212341,0.26163109,514,1313,1827,"sa389659"
"Donald Hume","SEA","A,A+","22-25",229.1,0.3030303,0.9201278,0.13400576,0.41498559,0.45100865,0.19169329,0.07667732,0.44289694,0.2632312,0.29387187,0.24522673,386,1290,1676,"sa389660"
"Garrett Parcell","FLA","A,A-,A+,AA,AAA","22-27",255.2,0.28744939,1.30451128,0.14265734,0.48531469,0.37202797,0.20676692,0.05263158,0.49263722,0.20348059,0.3038822,0.13369796,1143,2148,3291,"sa389661"
