Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Rob Scahill","COL","A-,A+,AA,AAA,R","22-31",761.1,0.33187773,1.70991254,0.17377778,0.52133333,0.30488889,0.16618076,0.07580175,0.42028363,0.25354534,0.32617104,0.1258049,3674,6731,10405,"9286"
"Dylan Axelrod","SDP","A,A+,AA,AAA,R","21-30",880.2,0.30312262,1.15345005,0.1985435,0.42928325,0.37217325,0.17816684,0.0607621,0.4891791,0.24552239,0.26529851,0.13767071,4002,7787,11789,"9303"
"Buddy Baumann","KCR","A+,AA,AAA,R","21-30",534.1,0.29329609,0.83459788,0.14618644,0.38841808,0.46539548,0.20789074,0.06828528,0.38692098,0.25,0.36307902,0.13567901,2750,5350,8100,"9309"
"Mark Mulder","STL","A,A+,AA,AAA","28-30",61.2,0.3062201,1.93333333,0.21428571,0.51785714,0.26785714,0.11111111,0.13333333,0.49132948,0.2716763,0.23699422,0.06761006,223,413,636,"932"
"Patrick Corbin","LAA","A,A+,AA,AAA,R","19-25",447.2,0.3202765,1.40807175,0.17193524,0.48419429,0.34387047,0.20403587,0.08071749,0.46268657,0.25671642,0.28059701,0.15408027,1633,3624,5257,"9323"
"Mike Belfiore","ARI","A,A+,AA,AAA,R","20-26",632.2,0.31822972,1.1220527,0.18918919,0.42872284,0.38208797,0.19001387,0.08599168,0.43865031,0.23773006,0.32361963,0.14396304,2707,5302,8009,"9324"
"Jared Hughes","PIT","A,A-,A+,AA,AAA,R","20-30",699.1,0.30194658,2.1003861,0.17131063,0.56140351,0.26728586,0.16602317,0.08108108,0.49703264,0.22354105,0.27942631,0.18875,1610,3990,5600,"9325"
"Michael Crotta","PIT","A,A-,A+,AA,AAA","21-31",726.2,0.33171913,2.53992395,0.15974729,0.60288809,0.23736462,0.14828897,0.07224335,0.49586057,0.21437908,0.28976035,0.14458805,1633,4557,6190,"9337"
"Brandon Morrow","SEA","A+,AA,AAA,R","21-32",213.2,0.32601881,1.23611111,0.195,0.445,0.36,0.23611111,0.08333333,0.42394822,0.21035599,0.36569579,0.1199864,1047,1895,2942,"9346"
"Barret Browning","LAA","A,A+,AA,AAA,R","21-28",487.2,0.31686047,1.88483146,0.17576244,0.53852327,0.28571429,0.1488764,0.06741573,0.42080745,0.23602484,0.3431677,0.11496642,2333,3921,6254,"9356"
"Bryan Augenstein","ARI","A,A+,AA,AAA,R","20-27",493,0.32211221,1.52291667,0.19534884,0.48571429,0.31893688,0.1875,0.07708333,0.44286637,0.25887669,0.29825694,0.12898213,1905,4530,6435,"936"
"Brett Sinkbeil","FLA","A,A-,A+,AA,AAA","21-26",514,0.32106825,1.84705882,0.18791946,0.52684564,0.2852349,0.17176471,0.09882353,0.45054945,0.23141564,0.31803491,0.1298377,1565,3241,4806,"9364"
