"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Goldschmidt, Paul","502671","415","11.6",32.8,"112.4","91.5","96.6","86.8","453","178","405","197",47.5,"55",13.3,8.3
"Crawford, Brandon","543063","414","11.3",34.8,"108.5","87.5","92.3","83.9","431","168","391","138",33.5,"24",5.8,4.2
"Trumbo, Mark","444432","411","12.7",26.5,"118.5","89.8","94.3","88.3","461","170","401","158",38.5,"29",7.1,4.8
"Seager, Corey","608369","411","11.1",40.4,"110.9","89.7","94.9","83.9","450","178","408","182",44.3,"35",8.5,5.7
"Arcia, Orlando","606115","411","6.8",28.7,"107.3","85.7","90.6","82.9","422","147","399","113",27.6,"16",3.9,2.9
"Turner, Justin","457759","409","18.5",37.7,"107.8","89.4","92.2","86.6","430","208","396","156",38.6,"35",8.6,6.4
"Solarte, Yangervis","500208","409","14.7",31.8,"110.2","85.4","89.3","84.4","455","172","393","112",27.6,"16",3.9,3.1
"Mancini, Trey","641820","408","7.1",30.9,"115.5","88.6","95.1","85","459","158","399","167",41.2,"41",10,7
"García, Avisaíl","541645","408","7.6",31.4,"115.5","90.3","95.3","86.6","451","159","407","166",40.8,"36",8.8,6.4
"Hernández, César","514917","408","4.5",33.3,"107.8","85.7","89.9","83.1","407","150","390","121",29.7,"12",2.9,2.1
"Puig, Yasiel","624577","404","10.4",27.2,"116","88.5","94.1","85.7","450","163","411","151",37.6,"38",9.4,6.7
"Shaw, Travis","543768","404","14.9",34.7,"113.7","88.6","93.3","85.3","478","184","402","159",39.4,"30",7.4,5
"Zimmerman, Ryan","475582","403","8.3",32.3,"113.1","91.4","97.8","86.3","462","173","405","195",49.1,"49",12.2,8.5
"Herrera, Odúbel","546318","402","9.7",35.1,"114.6","87.2","91","85.5","434","172","396","130",32.3,"25",6.2,4.4
"Iglesias, José","578428","402","8.7",32.6,"105.2","82.9","86.7","81.8","433","142","393","85",21.1,"5",1.2,1
"Cabrera, Asdrúbal","452678","402","12",37.6,"105.3","87.2","92.1","83.4","428","175","393","134",33.5,"19",4.7,3.5
"Kepler, Max","596146","401","13.2",31.9,"113.2","88.7","92.3","88","440","174","398","147",36.7,"16",4,2.8
"Harrison, Josh","543281","401","16.5",38.4,"103.2","84.9","89.7","79.5","422","186","377","96",24.1,"11",2.7,2
"Pence, Hunter","452254","395","4.2",25.3,"114","89","94","86.8","444","142","395","148",37.6,"23",5.8,4.3
"Myers, Wil","571976","394","15.4",35.3,"112.5","89.4","95.3","85.4","461","191","407","175",44.6,"36",9.1,5.5
"Moreland, Mitch","519048","393","11.6",34.9,"113.3","89.3","94.9","84.4","449","184","412","142",36.4,"47",12,8.2
"Suárez, Eugenio","553993","392","14.8",39,"108.8","86.2","91.6","81.1","451","189","393","126",32.1,"27",6.9,4.3
"Gamel, Ben","592325","391","10.9",33.2,"108.5","86.3","90.2","83.4","414","166","385","114",29.3,"16",4.1,2.9
"Lamb, Jake","571875","389","12.2",34.4,"109.4","88.3","93","84.1","481","191","407","141",36.3,"36",9.3,5.7
"Headley, Chase","452104","388","11.7",36.9,"107.9","87.2","90.3","84.9","435","170","396","129",33.2,"18",4.6,3.1
"Margot, Manuel","622534","386","10.4",34.5,"109.7","85.3","90","81.9","424","173","395","111",29.3,"10",2.6,1.9
"Sánchez, Yolmer","570560","384","10.4",32.6,"106.5","84.8","89","82","422","159","399","94",24.6,"13",3.4,2.4
"Perez, Salvador","521692","381","18.7",34.4,"111.3","88.7","92.7","84.7","451","211","404","147",38.9,"36",9.4,7.2
"Ramirez, Hanley","434670","380","12.6",35,"114.3","88.5","93.4","84.8","469","182","415","146",38.4,"36",9.5,6.5
"Carpenter, Matt","572761","379","22.6",37.7,"113","89.7","92.4","86.1","427","222","400","140",37.2,"31",8.2,5
"Davis, Khris","501981","378","14.2",37.6,"113.5","92.2","98.7","85","458","203","408","198",52.4,"67",17.7,10.3
"Upton, Justin","457708","378","15.7",36,"114.2","88.8","94.3","84.3","454","199","405","156",41.3,"50",13.2,7.9
"Lucroy, Jonathan","518960","376","7.8",31.9,"106.7","85","87.5","84.1","435","151","416","91",24.3,"9",2.4,1.9
