Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Yusei Kikuchi,SEA,32,9,9,0,0,47,41,27,47,20,3,2,4,0,0,0,5.17,1.3
Brett Anderson,MIL,35,10,10,0,0,47,50,22,32,10,6,4,4,0,0,0,4.21,1.28
Randy Dobnak,MIN,28,10,10,0,0,46.2,50,21,27,13,3,6,4,0,0,0,4.05,1.35
Tony Gonsolin,LAD,29,9,8,0,0,46.2,32,12,46,7,2,2,2,0,0,0,2.31,0.84
Chad Kuhl,PIT,31,11,9,0,0,46.1,35,22,44,28,8,2,3,0,0,0,4.27,1.36
Alex Young,ARI,30,15,7,0,0,46.1,51,28,39,14,11,2,4,0,0,1,5.44,1.4
Justin Dunn,SEA,28,10,10,0,0,45.2,31,22,38,31,10,4,1,0,0,0,4.34,1.36
Josh Lindblom,MIL,36,12,10,0,0,45.1,42,26,52,16,6,2,4,0,0,0,5.16,1.28
Jake Arrieta,PHI,37,9,9,0,0,44.1,51,25,32,16,6,4,4,0,0,0,5.08,1.51
Jordan Montgomery,NYY,30,10,10,0,0,44,48,25,47,9,7,2,3,0,0,0,5.11,1.3
John Means,BAL,30,10,10,0,0,43.2,36,22,42,7,12,2,4,0,0,0,4.53,0.98
Ryan Castellani,COL,27,10,9,0,0,43.1,37,28,25,26,12,1,4,0,0,0,5.82,1.45
Taylor Clarke,ARI,30,12,5,0,0,43.1,35,21,40,21,8,3,0,0,0,0,4.36,1.29
Ryan Weber,BOS,33,17,5,0,0,43,44,21,27,14,8,1,3,0,0,5,4.4,1.35
Sandy Alcantara,MIA,28,7,7,0,0,42,35,14,39,15,4,3,2,0,0,0,3,1.19
Madison Bumgarner,ARI,34,9,9,0,0,41.2,47,30,30,13,13,1,4,0,0,0,6.48,1.44
Nick Margevicius,SEA,27,10,7,0,0,41.1,38,21,36,14,6,2,3,0,1,0,4.57,1.26
Derek Holland,PIT,37,12,5,0,0,40.2,42,31,45,15,12,1,3,0,1,0,6.86,1.4
Jack Flaherty,STL,28,9,9,0,0,40.1,33,22,49,16,6,4,3,0,0,0,4.91,1.21
Josh Tomlin,ATL,39,17,5,0,0,39.2,40,21,36,8,6,2,2,0,0,1,4.76,1.21
Joe Musgrove,PIT,30,8,8,0,0,39.2,33,17,55,16,5,1,5,0,0,0,3.86,1.24
Jon Gray,COL,32,8,8,0,0,39,45,29,22,11,6,2,4,0,0,0,6.69,1.44
Kwang Hyun Kim,STL,35,8,7,0,0,39,28,7,24,12,3,3,0,1,0,0,1.62,1.03
Dakota Hudson,STL,29,8,8,0,0,39,24,12,31,15,5,3,2,0,0,0,2.77,1
Sixto Sanchez,MIA,25,7,7,1,0,39,36,15,33,11,3,3,2,0,0,0,3.46,1.21
Rich Hill,MIN,43,8,8,0,0,38.2,28,13,31,17,3,2,2,0,0,0,3.03,1.16
Jorge Lopez,BAL,30,9,6,0,0,38.1,43,27,28,12,7,2,2,0,0,0,6.34,1.43
Charlie Morton,TB,40,9,9,0,0,38,43,20,42,10,4,2,2,0,0,0,4.74,1.39
Kyle Wright,ATL,28,8,8,0,0,38,35,22,30,24,7,2,4,0,0,0,5.21,1.55
Asher Wojciechowski,BAL,34,10,7,0,0,37,45,28,31,15,11,1,3,0,0,0,6.81,1.62
Seth Lugo,NYM,34,16,7,0,0,36.2,40,21,47,10,8,3,4,3,2,0,5.15,1.36
Walker Buehler,LAD,29,8,8,0,0,36.2,24,14,42,11,7,1,0,0,0,0,3.44,0.95
Patrick Sandoval,LAA,27,9,6,0,0,36.2,37,23,33,12,10,1,5,0,0,0,5.65,1.34
Tyler Alexander,DET,29,14,2,0,0,36.1,39,16,34,9,8,2,3,0,0,0,3.96,1.32
Mike Minor,TEX,35,7,7,0,0,35.1,35,22,35,13,7,0,5,0,0,0,5.6,1.36
Tejay Antone,CIN,29,13,4,0,0,35.1,20,11,45,16,4,0,3,0,1,1,2.8,1.02
Tom Eshelman,BAL,29,12,4,0,0,34.2,34,15,16,9,7,3,1,0,1,0,3.89,1.24
Deivi Garcia,NYY,24,6,6,0,0,34.1,35,19,33,6,6,3,2,0,0,0,4.98,1.19
Dane Dunning,CWS,28,7,7,0,0,34,25,15,35,13,4,2,0,0,0,0,3.97,1.12
Vincent Velasquez,PHI,31,9,7,0,0,34,36,21,46,17,5,1,1,0,0,0,5.56,1.56
Michael Wacha,NYM,32,8,7,0,0,34,46,25,37,7,9,1,4,0,0,0,6.62,1.56
Chase Anderson,TOR,35,10,7,0,0,33.2,45,27,38,10,11,1,2,0,0,0,7.22,1.63
Ross Stripling,LAD,34,7,7,0,0,33.2,38,21,27,11,12,3,1,0,0,0,5.61,1.46
Anthony DeSclafani,CIN,33,9,7,0,0,33.2,41,27,25,16,7,1,2,0,0,0,7.22,1.69
Michael Lorenzen,CIN,31,18,2,0,0,33.2,30,16,35,17,3,3,1,0,1,2,4.28,1.4
Kolby Allard,TEX,26,11,8,0,0,33.2,31,29,32,20,4,0,6,0,0,0,7.75,1.51
Triston McKenzie,CLE,26,8,6,0,0,33.1,21,12,42,9,6,2,1,0,0,0,3.24,0.9
Daniel Ponce de Leon,STL,31,9,8,0,0,32.2,23,18,45,20,8,1,3,0,0,0,4.96,1.32
Jaime Barria,LAA,27,7,5,0,0,32.1,27,13,27,9,3,1,0,0,0,0,3.62,1.11
Ian Anderson,ATL,25,6,6,0,0,32.1,21,7,41,14,1,3,2,0,0,0,1.95,1.08
Josh Fleming,TB,27,7,5,0,0,32.1,28,10,25,7,5,5,0,0,0,0,2.78,1.08
Trevor Richards,TB,30,9,4,0,0,32,44,21,27,11,6,0,0,0,0,0,5.91,1.72
Tarik Skubal,DET,27,8,7,0,0,32,28,20,37,11,9,1,4,0,0,0,5.63,1.22
Brandon Bielak,HOU,27,12,6,0,0,32,39,24,26,17,9,3,3,0,0,0,6.75,1.75
Matt Andriese,LAA,34,16,1,0,0,32,21,16,33,11,5,2,4,2,1,3,4.5,1
Gio Gonzalez,CWS,38,12,4,0,0,31.2,40,17,34,19,6,1,2,0,0,0,4.83,1.86
Brent Suter,MIL,34,16,4,0,0,31.2,30,11,38,5,4,2,0,0,0,2,3.13,1.11
Julio Teheran,LAA,32,10,9,0,0,31.1,39,35,20,16,12,0,4,0,0,0,10.05,1.76
Merrill Kelly,ARI,35,5,5,0,0,31.1,26,9,29,5,5,3,2,0,0,0,2.59,0.99
Robbie Ray,ARI,32,7,7,0,0,31,31,27,43,31,9,1,4,0,0,0,7.84,2
Jonathan Hernandez,TEX,27,27,0,0,0,31,24,10,31,8,2,5,1,0,0,5,2.9,1.03
Steven Matz,NYM,32,9,6,0,0,30.2,42,33,36,10,14,0,5,0,0,0,9.68,1.7
Phillips Valdez,BOS,32,24,0,0,0,30.1,33,11,30,16,3,1,1,0,1,4,3.26,1.62
Chris Mazza,BOS,34,9,6,0,0,30,34,16,29,15,3,1,2,0,0,0,4.8,1.63
Scott Barlow,KC,30,32,0,0,0,30,27,14,39,9,4,2,1,2,0,7,4.2,1.2
Chris Stratton,PIT,33,27,0,0,0,30,26,13,39,13,3,2,1,0,2,5,3.9,1.3
Mike Mayers,LAA,31,29,0,0,0,30,18,7,43,9,2,2,0,2,2,5,2.1,0.9
Jose Cisnero,DET,34,29,0,0,0,29.2,23,10,34,10,1,3,3,0,2,6,3.03,1.11
Daniel Castano,MIA,29,7,6,0,0,29.2,30,10,12,11,3,1,2,0,0,0,3.03,1.38
Jose Urquidy,HOU,28,5,5,0,0,29.2,22,9,17,8,4,1,1,0,0,0,2.73,1.01
Tom Milone,BAL,36,6,6,0,0,29.1,33,13,31,4,5,1,4,0,0,0,3.99,1.26
Freddy Peralta,MIL,27,15,1,0,0,29.1,22,13,47,12,2,3,1,0,1,3,3.99,1.16
Austin Gomber,STL,30,14,4,0,0,29,19,6,27,15,1,1,1,0,0,1,1.86,1.17
Tyler Matzek,ATL,33,21,0,0,0,29,23,9,43,10,1,4,3,0,2,1,2.79,1.14
Matt Shoemaker,TOR,37,6,6,0,0,28.2,22,15,26,9,8,0,1,0,0,0,4.71,1.08
Zack Godley,BOS,33,8,7,0,0,28.2,42,26,28,14,9,0,4,0,0,0,8.16,1.95
Matt Foster,CWS,28,23,2,0,0,28.2,16,7,31,9,2,6,1,0,1,2,2.2,0.87
Casey Mize,DET,26,7,7,0,0,28.1,29,22,26,13,7,0,3,0,0,0,6.99,1.48
Greg Holland,KC,38,28,0,0,0,28.1,20,6,31,7,1,3,0,6,0,2,1.91,0.95
Trevor Rogers,MIA,26,7,7,0,0,28,32,19,39,13,5,1,2,0,0,0,6.11,1.61
Tyler Rogers,SF,32,29,0,0,0,28,31,14,27,6,2,3,3,3,3,10,4.5,1.32
Yency Almonte,COL,29,24,0,0,0,27.2,25,9,23,6,2,3,0,1,2,4,2.93,1.12
Adam Plutko,CLE,32,10,4,0,0,27.2,30,15,15,7,5,2,2,1,0,0,4.88,1.34
Michael Fulmer,DET,30,10,10,0,0,27.2,45,27,20,12,8,0,2,0,0,0,8.78,2.06
Daniel Norris,DET,30,14,1,0,0,27.2,25,10,28,7,2,3,1,0,0,0,3.25,1.16
Shane Greene,ATL,35,28,0,0,0,27.2,22,8,21,9,2,1,0,0,0,9,2.6,1.12
Grant Dayton,ATL,36,18,0,0,0,27.1,22,7,32,11,4,2,1,0,0,0,2.3,1.21
Wandy Peralta,SF,32,25,0,0,0,27.1,22,10,25,11,3,1,1,0,1,1,3.29,1.21
James Karinchak,CLE,28,27,0,0,0,27,14,8,53,16,1,1,2,1,3,8,2.67,1.11
Devin Williams,MIL,29,22,0,0,0,27,8,1,53,9,1,4,1,0,0,9,0.33,0.63
Taijuan Walker,SEA,31,5,5,0,0,27,21,12,25,8,5,2,2,0,0,0,4,1.07
Michael Pineda,MIN,34,5,5,0,0,26.2,25,10,25,7,0,2,0,0,0,0,3.38,1.2
Jeurys Familia,NYM,34,25,0,0,0,26.2,20,11,23,19,2,2,0,0,1,5,3.71,1.46
Felix Pena,LAA,33,25,0,0,0,26.2,27,12,29,8,2,3,0,2,3,4,4.05,1.31
Jimmy Cordero,CWS,32,30,0,0,0,26.2,33,18,22,9,2,1,2,0,1,8,6.08,1.58
Pete Fairbanks,TB,29,27,2,0,0,26.2,23,8,39,14,2,6,3,0,2,7,2.7,1.39
Michael King,NYY,28,9,4,0,0,26.2,30,23,26,11,5,1,2,0,0,0,7.76,1.54
Ryan Thompson,TB,31,25,1,0,0,26.1,29,13,23,8,4,1,2,1,0,4,4.44,1.41
Thomas Hatch,TOR,29,17,1,0,0,26.1,18,8,23,13,2,3,1,0,0,4,2.73,1.18
Reynaldo Lopez,CWS,29,8,8,0,0,26.1,28,19,24,15,9,1,3,0,0,0,6.49,1.63
Joshua Allen Smith,MIA,36,16,1,0,0,26.1,33,20,18,11,3,1,1,1,0,1,6.84,1.67
Taijuan Walker,TOR,31,6,6,0,0,26.1,22,4,25,11,3,2,1,0,0,0,1.37,1.25
Luke Jackson,ATL,32,19,0,0,0,26.1,39,20,20,13,2,2,0,0,0,1,6.84,1.97
Drew Smyly,SF,34,7,5,0,0,26.1,20,10,42,9,2,0,1,0,0,0,3.42,1.1
Ty Buttrey,LAA,30,27,0,0,0,26.1,28,17,18,9,4,2,3,5,4,2,5.81,1.41
Tyler Clippard,MIN,38,26,2,0,0,26,19,8,26,4,2,2,1,0,2,8,2.77,0.88
Stefan Crichton,ARI,31,26,0,0,0,26,22,7,23,9,1,2,2,5,2,2,2.42,1.19
Aaron Slegers,TB,31,11,1,0,0,26,18,10,19,5,1,0,0,2,0,2,3.46,0.88
Keegan Akin,BAL,28,8,6,0,0,25.2,27,13,35,10,3,1,2,0,0,0,4.56,1.44
Travis Lakins,BAL,29,22,0,0,0,25.2,25,8,25,13,2,3,2,1,0,1,2.81,1.48
Chad Green,NYY,32,22,0,0,0,25.2,13,10,32,8,5,3,3,1,2,6,3.51,0.82
Josh Staumont,KC,29,26,0,0,0,25.2,20,7,37,16,2,2,1,0,0,8,2.45,1.4
Anthony Bass,TOR,36,26,0,0,0,25.2,17,10,21,9,2,2,3,7,2,3,3.51,1.01
Lucas Sims,CIN,29,20,0,0,0,25.2,13,7,34,11,3,3,0,0,2,5,2.45,0.94
Edwin Diaz,NYM,29,26,0,0,0,25.2,18,5,50,14,2,2,1,6,3,2,1.75,1.25
Shun Yamaguchi,TOR,36,17,0,0,0,25.2,28,23,26,17,6,2,4,0,1,1,8.06,1.75
Blake Treinen,LAD,35,27,0,0,0,25.2,23,11,22,8,1,3,3,1,1,9,3.86,1.21
Colten Brewer,BOS,31,11,4,0,0,25.2,31,16,25,14,6,0,3,0,0,0,5.61,1.75
Elieser Hernandez,MIA,28,6,6,0,0,25.2,21,9,34,5,5,1,0,0,0,0,3.16,1.01
Matt Wisler,MIN,31,18,4,0,0,25.1,15,3,35,14,2,0,1,1,1,3,1.07,1.14
Liam Hendriks,OAK,34,24,0,0,0,25.1,14,5,37,3,1,3,1,14,1,0,1.78,0.67
Jakob Junis,KC,31,8,6,0,0,25.1,35,18,19,6,7,0,2,0,0,1,6.39,1.62
John Curtiss,TB,30,17,3,0,0,25,21,5,25,3,3,3,0,2,0,0,1.8,0.96
Chasen Shreve,NYM,33,17,0,0,0,25,17,11,34,12,4,1,0,0,0,1,3.96,1.16
J.B. Wendelken,OAK,30,21,0,0,0,25,17,5,31,11,2,1,1,0,0,2,1.8,1.12
Trevor Cahill,SF,35,11,6,0,0,25,16,9,31,14,3,1,2,0,0,1,3.24,1.2
Ryan Brasier,BOS,36,25,1,0,0,25,24,11,30,11,2,1,0,0,2,11,3.96,1.4
Aaron Loup,TB,35,24,0,0,0,25,17,7,22,4,3,3,2,0,1,4,2.52,0.84
Tommy Hunter,PHI,37,24,0,0,0,24.2,22,11,25,6,2,0,1,1,2,8,4.01,1.14
Daniel Bard,COL,38,23,0,0,0,24.2,22,10,27,10,2,4,2,6,0,2,3.65,1.3
Johan Oviedo,STL,25,5,5,0,0,24.2,24,15,16,10,3,0,3,0,0,0,5.47,1.38
Kyle Finnegan,WAS,32,25,0,0,0,24.2,21,8,27,13,2,1,0,0,1,4,2.92,1.38
Spencer Howard,PHI,27,6,6,0,0,24.1,30,16,23,10,6,1,2,0,0,0,5.92,1.64
Brandon Kintzler,MIA,39,24,0,0,0,24.1,21,6,14,11,3,2,3,12,2,1,2.22,1.32
Kenley Jansen,LAD,36,27,0,0,0,24.1,19,9,33,9,2,3,1,11,2,0,3.33,1.15
Touki Toussaint,ATL,27,7,5,0,0,24.1,27,24,30,16,7,0,2,0,0,0,8.88,1.77
Dylan Floro,LAD,32,25,0,0,0,24.1,23,7,19,4,1,3,0,0,0,4,2.59,1.11
Jorge Alcala,MIN,28,16,0,0,0,24,21,7,27,8,3,2,1,0,1,0,2.63,1.21
Tyler Duffey,MIN,32,22,0,0,0,24,13,5,31,6,2,1,1,0,2,12,1.88,0.79
Carlos Estevez,COL,30,26,0,0,0,24,33,20,27,9,6,1,3,1,3,6,7.5,1.75
Rafael Dolis,TOR,35,24,0,0,0,24,16,4,31,14,1,2,2,5,1,7,1.5,1.25
Craig Stammen,SD,39,24,0,0,0,24,27,15,20,4,2,4,2,0,1,5,5.63,1.29
Junior Guerra,ARI,38,25,0,0,0,23.2,17,8,21,15,1,1,2,0,2,4,3.04,1.35
Nick Wittgren,CLE,32,25,0,0,0,23.2,18,9,28,6,4,2,0,0,1,10,3.42,1.01
Ryne Harper,WAS,34,23,0,0,0,23.2,29,20,25,9,5,1,0,0,0,1,7.61,1.61
Wander Suero,WAS,32,22,0,0,0,23.2,20,10,28,10,1,2,0,0,0,6,3.8,1.27
Tyler Kinley,COL,32,24,0,0,0,23.2,13,14,26,12,2,0,2,0,0,4,5.32,1.06
Andre Scrubb,HOU,28,20,0,0,0,23.2,15,5,24,20,1,1,0,1,0,2,1.9,1.48
Codi Heuer,CWS,27,21,0,0,0,23.2,12,4,25,9,1,3,0,1,0,6,1.52,0.89
Eric Yardley,MIL,33,24,0,0,0,23.1,19,4,19,10,2,2,0,0,2,1,1.54,1.24
Lou Trivino,OAK,32,20,0,0,0,23.1,16,10,26,10,3,0,0,0,1,0,3.86,1.11
Brusdar Graterol,LAD,25,23,2,0,0,23.1,18,8,13,3,1,1,2,0,1,5,3.09,0.9
Richard Rodriguez,PIT,33,24,0,0,0,23.1,15,7,34,5,3,3,2,4,1,2,2.7,0.86
Jose Urena,MIA,32,5,5,0,0,23.1,22,14,15,13,4,0,3,0,0,0,5.4,1.5
Trevor May,MIN,34,24,0,0,0,23.1,20,10,38,7,5,1,0,2,0,8,3.86,1.16
Robbie Erlin,ATL,33,7,5,0,0,23.1,28,22,21,6,8,0,0,0,0,0,8.49,1.46
Jeremy Jeffress,CHC,36,22,0,0,0,23.1,10,4,17,12,1,4,1,8,2,3,1.54,0.94
A.J. Cole,TOR,31,24,0,0,0,23.1,19,8,20,9,3,3,0,1,3,3,3.09,1.2
Matt Barnes,BOS,33,24,0,0,0,23,18,11,31,14,4,1,3,9,4,4,4.3,1.39
Kyle Zimmer,KC,32,16,1,0,0,23,14,4,26,10,0,1,0,0,0,0,1.57,1.04
Raisel Iglesias,CIN,33,22,0,0,0,23,16,7,31,5,1,4,3,8,2,2,2.74,0.91
Jonathan Loaisiga,NYY,29,12,3,0,0,23,21,9,22,7,3,3,0,0,2,2,3.52,1.22
Gregory Soto,DET,28,27,0,0,0,23,16,11,29,13,2,0,1,2,1,4,4.3,1.26
Cole Sulser,BAL,33,19,0,0,0,22.2,17,14,19,17,2,1,5,5,3,1,5.56,1.5
Kyle Cody,TEX,29,8,5,0,0,22.2,15,4,18,13,1,1,1,0,0,0,1.59,1.24
Joe Jimenez,DET,28,25,0,0,0,22.2,25,18,22,6,7,1,3,5,1,4,7.15,1.37
Mike Clevinger,CLE,32,4,4,0,0,22.2,20,8,21,11,5,1,1,0,0,0,3.18,1.37
Evan Marshall,CWS,33,23,0,0,0,22.2,17,6,30,7,1,2,1,0,2,8,2.38,1.06
Mark Melancon,ATL,38,23,0,0,0,22.2,22,7,14,7,1,2,1,11,2,0,2.78,1.28
Wade LeBlanc,BAL,39,6,6,0,0,22.1,27,20,13,8,6,1,0,0,0,0,8.06,1.57
Joakim Soria,OAK,39,22,0,0,0,22.1,18,7,24,10,1,2,2,2,1,4,2.82,1.25
