Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3"
"Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 3-4-5"
b4,0-5,0,---,"5,(2-2) BFBFX",O,BOS,Mitch Moreland,Noah Syndergaard,2%,92%,Flyball: RF (Deep RF Line)
b4,0-5,1,---,"6,(2-2) SSBBFX",,BOS,J.D. Martinez,Noah Syndergaard,-2%,90%,Single to CF (Ground Ball)
b4,0-5,1,1--,"2,(1-0) 11BX",O,BOS,Xander Bogaerts,Noah Syndergaard,2%,92%,Popfly: 2B (Short RF)
b4,0-5,2,1--,"1,(0-0) X",O,BOS,Rafael Devers,Noah Syndergaard,1%,93%,Flyball: LF (Short LF)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Mets 5, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Mets 5, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Mets 5, Red Sox 0."
"Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6","Top of the 5th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 4-5-6"
t5,5-0,0,---,"6,(2-2) CFBFBC",O,NYM,Jay Bruce,Brian Johnson,-1%,93%,Strikeout Looking
t5,5-0,1,---,"6,(3-2) BCFBBX",,NYM,Todd Frazier,Brian Johnson,1%,93%,Single to LF (Ground Ball thru SS-3B Hole)
t5,5-0,1,1--,"6,(3-2) CBB*BCC",O,NYM,Brandon Nimmo,Brian Johnson,-1%,93%,Strikeout Looking
