Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t3,3-1,2,---,"5,(1-2) CSBFX",O,CLE,Jody Gerut,Wade Miller,-1%,66%,Lineout: 2B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Indians 3, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 3, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 3, Red Sox 1."
"Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 9-1-2"
b3,1-3,0,---,"7,(3-2) CCBBBFB",,BOS,Mark Bellhorn,Cliff Lee,-4%,62%,Walk
b3,1-3,0,1--,"8,(1-2) CFBFFFFS",O,BOS,Johnny Damon,Cliff Lee,4%,66%,Strikeout Swinging
b3,1-3,1,1--,"5,(2-2) FBCBC",O,BOS,Edgar Renteria,Cliff Lee,3%,69%,Strikeout Looking
b3,1-3,2,1--,"4,(2-1) CBBX",O,BOS,David Ortiz,Cliff Lee,3%,72%,Flyball: CF (Deep CF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Indians 3, Red Sox 1.","0 runs, 0 hits, 0 errors, 1 LOB. Indians 3, Red Sox 1.","0 runs, 0 hits, 0 errors, 1 LOB. Indians 3, Red Sox 1."
"Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1","Top of the 4th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 8-9-1"
t4,3-1,0,---,"6,(2-2) BCCBFX",O,CLE,Aaron Boone,Wade Miller,-2%,70%,Flyball: CF (Deep CF)
t4,3-1,1,---,"1,(0-0) X",,CLE,Jhonny Peralta,Wade Miller,2%,72%,Single to LF (Line Drive to LF-CF)
t4,3-1,1,1--,"5,(2-2) CB1*BCX",O,CLE,Grady Sizemore,Wade Miller,-2%,71%,Groundout: 1B unassisted; Peralta to 2B
t4,3-1,2,-2-,"6,(3-2) BBBCCC",O,CLE,Casey Blake,Wade Miller,-3%,68%,Strikeout Looking
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Indians 3, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Indians 3, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Indians 3, Red Sox 1."
